Price,Close,High,Low,Open,Volume,Ticker
Ticker,ACN,ACN,ACN,ACN,ACN,
Date,,,,,,
2019-01-02,127.18775939941406,127.73056780627051,125.09797050014177,125.68600143741025,2059300,ACN
2019-01-03,122.84535217285156,126.2650235675508,122.65537886459751,125.86696584942743,2801300,ACN
2019-01-04,127.62200164794922,127.86625298812652,124.39231810814822,124.95320996154958,2296400,ACN
2019-01-07,128.0653076171875,128.79808939381576,126.51832693412625,127.4049012240055,2315600,ACN
2019-01-08,131.3040313720703,132.8148312403948,129.08758878211387,130.84265383998562,2647800,ACN
2019-01-09,131.96444702148438,133.16766195291487,131.30404059290152,131.4125967717936,2181500,ACN
2019-01-10,133.0048065185547,133.1043209347672,130.51695991743378,130.86978124687963,1836300,ACN
2019-01-11,132.2900848388672,133.37568767499886,129.3770420493306,129.3770420493306,2004100,ACN
2019-01-14,131.1140594482422,131.7744797111026,130.4084166449125,130.97836421844582,1484500,ACN
2019-01-15,132.88720703125,133.43905724388395,131.18642005378288,131.24975369001285,1543800,ACN
2019-01-16,133.78286743164062,135.21225050255168,133.63811663363032,134.59706651310583,2677100,ACN
2019-01-17,134.9046173095703,135.35695308521045,133.20384418001424,133.20384418001424,1814700,ACN
2019-01-18,136.1078643798828,136.96729979640284,134.89560752693055,135.7007648461834,2470500,ACN
2019-01-22,134.76889038085938,136.06256376871335,133.80994097086068,135.24836508585872,1950300,ACN
2019-01-23,134.27137756347656,136.5420986540805,133.38480312629588,135.57410707356792,1989400,ACN
2019-01-24,135.83642578125,135.98117654019995,134.49751577144323,134.62416923447643,1947100,ACN
2019-01-25,137.3743896484375,137.7091137271569,136.56923246683627,137.13012444829977,1742800,ACN
2019-01-28,137.72723388671875,137.72723388671875,135.88169576362682,136.35212894459866,2046500,ACN
2019-01-29,137.5281524658203,137.8809737657396,136.70489816461185,137.5281524658203,1963200,ACN
2019-01-30,139.40087890625,139.77179766938306,137.3653672897056,137.98055131199902,1679400,ACN
2019-01-31,138.91236877441406,140.13366751969332,138.52335269108113,138.86713241995247,2115600,ACN
2019-02-01,139.98887634277344,140.42311480834266,139.01182944209873,139.54558232729755,1957400,ACN
2019-02-04,141.62637329101562,141.70779044014662,139.52752808544216,140.2241292377984,1666100,ACN
2019-02-05,142.3229522705078,142.4043694069546,141.62635122667686,141.80728279795665,1985700,ACN
2019-02-06,142.17822265625,142.96528270078446,141.93395740635458,142.1691671036119,1375100,ACN
2019-02-07,140.38693237304688,141.12876971164644,139.49131632302195,140.99307449321634,2109800,ACN
2019-02-08,140.75782775878906,141.08351003334147,139.33750075879027,139.45509866057947,2300000,ACN
2019-02-11,140.51356506347656,142.30481052682637,140.24216088922606,141.12873497453398,1410500,ACN
2019-02-12,141.69871520996094,142.0605783233923,140.8030853685579,141.155906735621,1861300,ACN
2019-02-13,142.96524047851562,143.4266179883285,141.90677644716234,142.0334299089262,1952100,ACN
2019-02-14,142.80242919921875,143.69804532139707,141.79824308935653,142.6848174643088,1552900,ACN
2019-02-15,144.05087280273438,144.14134549559105,143.14620109094696,143.9151775676442,2395200,ACN
2019-02-19,144.27703857421875,144.83794441399576,143.1100181573018,143.48997861407,1656500,ACN
2019-02-20,144.48513793945312,144.85604288289503,143.327145346111,144.54845778669596,1942300,ACN
2019-02-21,144.32228088378906,144.79271405150132,143.7342497772951,144.36751723141055,1835700,ACN
2019-02-22,146.10450744628906,146.40305082079445,144.7113188361279,144.91033394826755,1679300,ACN
2019-02-25,146.25820922851562,146.92767096832674,146.1315557971123,146.61103048772407,1368000,ACN
2019-02-26,145.95968627929688,147.00910845883956,145.68828208745782,146.21299317722918,1526200,ACN
2019-02-27,145.3174285888672,145.88736240831483,144.86509271085086,145.51645747953,1536300,ACN
2019-02-28,145.99591064453125,146.5568026323254,145.10028077004628,145.56165832734212,2017300,ACN
2019-03-01,148.54705810546875,149.18032539704464,147.1719535550528,147.46145506216843,2227600,ACN
2019-03-04,147.2986297607422,149.19843175081564,145.5707037712384,149.04463924239488,1896300,ACN
2019-03-05,148.067626953125,148.2847531474556,147.02725993920683,147.43435947490545,1564900,ACN
2019-03-06,146.9096221923828,148.42042212454518,146.8643858510452,148.42042212454518,1733300,ACN
2019-03-07,146.42108154296875,146.9638761372708,145.4530764533007,146.74676382122638,1655000,ACN
2019-03-08,146.27633666992188,146.3848928323032,145.19977537900192,145.65211112784618,1458100,ACN
2019-03-11,148.31190490722656,148.42951666475994,146.54779756521012,146.9910779358571,1240400,ACN
2019-03-12,148.35711669921875,150.01266756277965,148.11285147562594,148.8094525481416,2351200,ACN
2019-03-13,148.46566772460938,149.52413191779078,148.05856823556948,149.2436859098787,2095200,ACN
2019-03-14,149.10800170898438,149.20750234762033,148.4656787044935,148.78231933282757,2270100,ACN
2019-03-15,150.52830505371094,151.11633606454066,149.180339417378,149.2708120979024,3737200,ACN
2019-03-18,150.5644989013672,151.47822611965208,149.3974785248712,150.8540004607984,1592100,ACN
2019-03-19,150.35641479492188,151.65010234076004,149.75028648895594,151.17966925098318,1949600,ACN
2019-03-20,150.41973876953125,151.31535474723373,149.09891226530027,150.53733668127674,2128800,ACN
2019-03-21,152.20191955566406,152.8170894745803,149.43361350797124,149.43361350797124,1666400,ACN
2019-03-22,149.4879150390625,152.36476361773006,149.37030333347985,151.8038717373035,1602600,ACN
2019-03-25,149.34320068359375,149.69602208211998,148.3661536251686,149.25272799507147,1769900,ACN
2019-03-26,151.02590942382812,151.6229961126708,150.12123764225896,150.6097543304601,1777800,ACN
2019-03-27,150.60069274902344,151.80390771655834,149.60554839867302,151.0801676257757,2376200,ACN
2019-03-28,158.42608642578125,160.57016750803118,154.2284107472952,154.62646846059707,5398700,ACN
2019-03-29,159.24032592773438,160.0997613327823,158.27232052540572,158.58896116083173,2773000,ACN
2019-04-01,159.5116729736328,159.69260449857921,158.12751298752607,158.7698357759049,2977900,ACN
2019-04-02,158.6522674560547,159.71978721227418,157.9194856069197,159.0684225009999,1923600,ACN
2019-04-03,160.29879760742188,160.47972920563086,158.7518027637135,159.13176326121118,2481800,ACN
2019-04-04,160.27163696289062,160.5249439270918,159.09556102670265,160.29877600875545,2270200,ACN
2019-04-05,161.16722106933594,161.4114862377909,160.16303515923383,160.52491203920258,1861500,ACN
2019-04-08,161.85479736328125,162.00858987696728,160.46159538533706,160.73299962298012,1373300,ACN
2019-04-09,160.78729248046875,161.45675448759627,160.3801929887023,160.80538977909225,1813900,ACN
2019-04-10,161.45314025878906,162.1372637344619,160.63219765539276,161.2707101156485,1582600,ACN
2019-04-11,162.69371032714844,162.79404900944886,161.3619436273909,161.61734865169564,1417200,ACN
2019-04-12,162.9491424560547,163.60590231880514,162.18292725568992,162.82143992266057,2663400,ACN
2019-04-15,163.5511474609375,163.86128014497586,162.31971944336232,162.73932136534887,1619800,ACN
2019-04-16,163.33221435546875,164.09842938835607,162.60247978763496,164.00722126645758,1618200,ACN
2019-04-17,163.2318878173828,164.18966363898292,163.18627679377704,163.80655609404891,1637400,ACN
2019-04-18,162.92173767089844,163.27748134726025,161.80889562309403,163.02207634466862,1319700,ACN
2019-04-22,162.42922973632812,162.5934127569538,161.47145369374456,161.68124774849966,1393900,ACN
2019-04-23,164.62747192382812,164.69133013013973,162.32882703011418,162.54773763797573,1785500,ACN
2019-04-24,164.9285125732422,165.47581701173505,164.43594971342267,164.97412359620492,1463900,ACN
2019-04-25,164.14405822753906,164.71872652385335,162.92176069688298,164.71872652385335,1035300,ACN
