Price,Close,High,Low,Open,Volume,Ticker
Ticker,BKNG,BKNG,BKNG,BKNG,BKNG,
Date,,,,,,
2019-01-02,1697.22314453125,1712.0789669942699,1666.8018848088939,1667.2060896759156,312600,BKNG
2019-01-03,1639.4757080078125,1688.3311798862392,1634.408768051791,1680.4153121163433,445200,BKNG
2019-01-04,1693.1322021484375,1712.3844590784906,1654.7556042645335,1662.1489792202021,541000,BKNG
2019-01-07,1687.4833984375,1706.7851111250257,1679.3802891547532,1697.2624114147554,334800,BKNG
2019-01-08,1662.9376220703125,1731.0256222400355,1657.249633126773,1705.4445935187969,652400,BKNG
2019-01-09,1626.0396728515625,1658.954991414811,1613.7469840795034,1619.0011657058167,786300,BKNG
2019-01-10,1653.4837646484375,1662.0108137724553,1616.684519485816,1616.684519485816,459700,BKNG
2019-01-11,1642.20654296875,1654.1937014948312,1631.4023965941512,1646.8396763078172,331200,BKNG
2019-01-14,1668.8128662109375,1684.5360619804474,1621.613556187655,1624.1372192394845,439200,BKNG
2019-01-15,1674.165771484375,1679.952314909851,1657.653900445006,1670.9027708495837,436100,BKNG
2019-01-16,1656.677734375,1674.0768331286813,1652.7051192579765,1669.3451456414348,503700,BKNG
2019-01-17,1699.9931640625,1713.2026843164722,1652.705168160015,1657.8213257134926,363200,BKNG
2019-01-18,1735.2347412109375,1751.57898330826,1712.798306004487,1722.182981300173,552600,BKNG
2019-01-22,1684.6837158203125,1734.6531276734809,1667.4325102100695,1718.3975726995322,758000,BKNG
2019-01-23,1719.5118408203125,1721.749467979716,1690.7268943336537,1692.8364851769718,437900,BKNG
2019-01-24,1770.1416015625,1779.516410689689,1724.0167608867105,1724.115315153072,695700,BKNG
2019-01-25,1776.5787353515625,1808.005513895686,1773.4341441725003,1786.2295930188202,483200,BKNG
2019-01-28,1787.816650390625,1808.9124380401952,1754.8718480156826,1762.2060183415986,387800,BKNG
2019-01-29,1783.0848388671875,1794.519900808896,1768.6923067607747,1790.7936111429385,212300,BKNG
2019-01-30,1792.843994140625,1809.3854663757902,1779.9105223857885,1799.3797420673868,300500,BKNG
2019-01-31,1806.7535400390625,1824.8623743685425,1794.490333265833,1794.490333265833,314900,BKNG
2019-02-01,1810.844482421875,1835.5974870569705,1795.259310763427,1798.1181064480177,278200,BKNG
2019-02-04,1834.53271484375,1835.784678793473,1811.810363366397,1814.2256044693274,319500,BKNG
2019-02-05,1875.216064453125,1888.987427646355,1853.2035676875323,1860.6954963592375,487900,BKNG
2019-02-06,1879.8197021484375,1882.8460037726038,1848.1267466567049,1868.985833544305,243000,BKNG
2019-02-07,1850.37451171875,1873.6291067363034,1835.5384244959744,1865.2006111465748,362600,BKNG
2019-02-08,1844.4892578125,1872.9784195075588,1835.538388687969,1865.4667555069057,276000,BKNG
2019-02-11,1838.4857177734375,1853.952598839439,1830.5895845008758,1846.500140219807,327700,BKNG
2019-02-12,1868.3450927734375,1872.988093170931,1835.2424156703457,1850.147452945764,262200,BKNG
2019-02-13,1892.6744384765625,1896.647174276026,1871.775879492713,1872.288506090693,277300,BKNG
2019-02-14,1875.2850341796875,1895.2964825823879,1873.9739857584952,1882.7277459603886,208900,BKNG
2019-02-15,1906.080810546875,1907.1455334403524,1871.5783977962128,1897.957966428937,331800,BKNG
2019-02-19,1907.9833984375,1924.1107972747318,1882.0376373590718,1900.156337529367,338400,BKNG
2019-02-20,1898.7861328125,1917.338520306157,1892.7038069456694,1908.979097745726,322200,BKNG
2019-02-21,1879.2086181640625,1905.1741165616274,1873.274183451492,1897.2878501709426,414100,BKNG
2019-02-22,1883.358642578125,1896.5582947956243,1870.23780970043,1893.0784510269866,385800,BKNG
2019-02-25,1863.1600341796875,1907.3230536955127,1859.019672130317,1901.2112453865195,454100,BKNG
2019-02-26,1888.494384765625,1892.536071720811,1859.0194437321836,1859.0194437321836,366000,BKNG
2019-02-27,1878.90283203125,1924.4953063132257,1870.040650440851,1878.90283203125,750600,BKNG
2019-02-28,1672.913818359375,1738.813411380458,1667.9454317576156,1729.0639995879774,1989800,BKNG
2019-03-01,1689.7113037109375,1701.787148479639,1673.8599524289828,1683.914893408566,1248100,BKNG
2019-03-04,1683.5401611328125,1705.4048847997217,1666.0130278175145,1699.1550531931182,1043400,BKNG
2019-03-05,1721.1085205078125,1723.8686412752088,1685.0682288465146,1690.618193092627,619600,BKNG
2019-03-06,1726.7177734375,1740.7158484416511,1720.4778083450851,1723.5139776488497,621400,BKNG
2019-03-07,1700.4859619140625,1731.7352425883576,1694.837443184322,1721.6704341828292,598900,BKNG
2019-03-08,1691.4266357421875,1695.0642386651143,1668.8621620748581,1683.757333182166,773200,BKNG
2019-03-11,1685.5906982421875,1699.4803496757017,1669.2463359610035,1697.2130002079932,681200,BKNG
2019-03-12,1711.31982421875,1715.6375599250473,1665.4216955964741,1685.413409980967,699300,BKNG
2019-03-13,1735.6785888671875,1744.6787957967338,1714.878583947222,1715.6967408190415,680900,BKNG
2019-03-14,1719.087890625,1756.8335739860092,1714.0110822540978,1743.6831373226864,520700,BKNG
2019-03-15,1727.2598876953125,1733.0759126267358,1719.4228386241214,1726.8852852453513,760100,BKNG
2019-03-18,1731.360595703125,1740.4988253862637,1727.8907398575454,1732.720981357166,403000,BKNG
2019-03-19,1738.951171875,1761.8903662545597,1715.4007967231835,1726.1557251580048,499100,BKNG
2019-03-20,1749.2034912109375,1755.670167000677,1726.2346924857886,1741.662224997067,389200,BKNG
2019-03-21,1749.1343994140625,1759.2781478327167,1735.9742167445495,1740.696157144426,400000,BKNG
2019-03-22,1697.1146240234375,1736.1418711958142,1686.7638994571757,1729.1033640505714,656100,BKNG
2019-03-25,1727.4766845703125,1734.8601913178888,1688.3607531537014,1689.6423194834658,559700,BKNG
2019-03-26,1743.722412109375,1758.499293395808,1734.2095796826545,1736.1614112635104,462400,BKNG
2019-03-27,1727.20068359375,1761.5552059459408,1721.3845383252533,1743.8308422836926,355500,BKNG
2019-03-28,1704.31103515625,1740.479369456349,1702.6844685190797,1734.9688740789773,417300,BKNG
2019-03-29,1720.1031494140625,1731.5579463982788,1708.7863765302432,1711.9112325364426,440100,BKNG
2019-04-01,1734.2196044921875,1746.7784746062616,1723.2478311139712,1730.1285795677086,502400,BKNG
2019-04-02,1738.4781494140625,1746.3840302285287,1726.343099491628,1740.9228726918398,492600,BKNG
2019-04-03,1749.6964111328125,1770.6048364845726,1743.860530657858,1753.1860021980992,486200,BKNG
2019-04-04,1755.2857666015625,1765.7251783324734,1742.3720290950473,1750.0710546335727,373200,BKNG
2019-04-05,1744.294189453125,1762.6101199441562,1743.2394542831346,1762.6101199441562,365800,BKNG
2019-04-08,1763.2900390625,1767.5979066924788,1741.2874117040972,1742.7858213727611,324000,BKNG
2019-04-09,1768.9583740234375,1771.3341452614318,1742.519721188079,1751.4903243628123,378500,BKNG
2019-04-10,1780.32470703125,1783.2623221226045,1746.817941025708,1768.3474154169708,392700,BKNG
2019-04-11,1792.7357177734375,1797.4773934714603,1780.4726305986803,1784.2678724482373,421000,BKNG
2019-04-12,1807.009765625,1821.727563443674,1801.1641379631692,1801.8837405284817,413500,BKNG
2019-04-15,1819.9827880859375,1821.8656679917249,1799.9910727240083,1807.9266768824455,386300,BKNG
2019-04-16,1815.51708984375,1836.8101057947267,1812.9935471221147,1825.473597630127,416500,BKNG
2019-04-17,1813.63427734375,1829.8404968681755,1811.4852168245284,1822.348567932276,324200,BKNG
2019-04-18,1818.090087890625,1827.868981384997,1813.6835450073015,1821.3727030170398,344600,BKNG
2019-04-22,1817.951904296875,1826.8534354176354,1805.0085656614253,1807.8574936389848,315900,BKNG
2019-04-23,1860.892578125,1868.3352897278799,1821.0767785841283,1822.9399233496479,549300,BKNG
2019-04-24,1840.7332763671875,1867.053639584458,1837.1055412560847,1860.3109162129645,506600,BKNG
2019-04-25,1839.7279052734375,1858.014233167037,1830.5305906340166,1844.0555082928604,384400,BKNG
2019-04-26,1841.443115234375,1856.7227556445105,1823.708884152885,1841.5416694926278,541100,BKNG
2019-04-29,1849.644775390625,1858.2014269511963,1839.0969427455925,1843.2274371387832,432900,BKNG
2019-04-30,1828.6180419921875,1862.2430938546374,1825.8676682465557,1845.3862245245123,422400,BKNG
2019-05-01,1803.5103759765625,1838.968974239554,1802.1992071051163,1831.1615267773386,407400,BKNG
2019-05-02,1782.2962646484375,1804.4074377374131,1774.587491937847,1798.71944865694,529000,BKNG
2019-05-03,1798.1375732421875,1803.9438509388565,1788.4572348179365,1790.3499819504498,496100,BKNG
2019-05-06,1774.9124755859375,1785.943331563025,1756.69522174971,1773.3844635294179,540100,BKNG
2019-05-07,1759.623046875,1774.9815061148474,1746.0290577704166,1756.1234683116945,477200,BKNG
2019-05-08,1726.7276611328125,1746.4334602954498,1721.1776961651162,1739.9174469168202,464600,BKNG
2019-05-09,1711.3492431640625,1726.2049430892278,1690.628060978828,1704.8430980897922,627900,BKNG
2019-05-10,1803.8353271484375,1833.556714080751,1740.5184927754526,1799.0543027942851,1168400,BKNG
2019-05-13,1751.9931640625,1788.4967470141667,1744.8363679772276,1774.4098657395534,493000,BKNG
2019-05-14,1768.169921875,1788.999527191194,1756.370004674236,1761.7129933201647,410400,BKNG
2019-05-15,1763.990234375,1775.977272464202,1734.988446846736,1753.3141243977477,380800,BKNG
2019-05-16,1777.6729736328125,1790.9711809710002,1764.552139904402,1764.552139904402,305000,BKNG
2019-05-17,1761.880615234375,1793.5538364425606,1759.6231330439273,1760.9736513074345,346200,BKNG
2019-05-20,1727.319091796875,1744.8364806899244,1721.3551748971388,1744.5702999392895,352000,BKNG
2019-05-21,1746.9952392578125,1758.1642410009822,1732.2479596763942,1737.2852978720805,340600,BKNG
2019-05-22,1720.211669921875,1749.7654353166279,1718.1316815065575,1732.3663352308695,367900,BKNG
2019-05-23,1692.5208740234375,1722.1139858563056,1680.908318556501,1722.1139858563056,483800,BKNG
2019-05-24,1684.19091796875,1706.9624865746998,1683.3135564515571,1706.903402154875,269300,BKNG
2019-05-28,1661.8333740234375,1704.3994253996511,1661.4193017570606,1683.3135082184683,390800,BKNG
2019-05-29,1661.951904296875,1665.5007002803843,1638.5788993033184,1653.089721630925,317500,BKNG
2019-05-30,1649.274658203125,1669.433878463044,1646.524284301398,1663.0164195822645,265800,BKNG
2019-05-31,1632.6739501953125,1638.5098305158594,1617.2169357990765,1626.6409613533094,366400,BKNG
2019-06-03,1626.9957275390625,1668.1521767910467,1624.945341771132,1634.921463099775,462300,BKNG
2019-06-04,1722.1929931640625,1723.4548246432903,1649.7083196789754,1649.7083196789754,648000,BKNG
2019-06-05,1739.9073486328125,1742.0661560808633,1711.4083226166854,1730.788854029496,388700,BKNG
2019-06-06,1729.9117431640625,1741.5144323668142,1721.5621871277408,1740.903251507441,335700,BKNG
2019-06-07,1753.008544921875,1764.2463777730359,1731.3410482073077,1740.153892755725,337600,BKNG
2019-06-10,1755.7982177734375,1788.6149799319578,1753.0183620185605,1757.2275553197094,298300,BKNG
2019-06-11,1777.98828125,1786.889933044283,1765.6265205567413,1773.9169915379932,351000,BKNG
2019-06-12,1773.32568359375,1788.210988038005,1753.836727607252,1778.520781076085,212300,BKNG
2019-06-13,1783.7943115234375,1813.1903115600348,1776.4305404108457,1776.4305404108457,319200,BKNG
2019-06-14,1750.25830078125,1785.9239945747054,1747.5276617061181,1782.493367508209,325500,BKNG
2019-06-17,1756.0841064453125,1761.9988057208916,1742.864719870631,1750.7509855714031,281200,BKNG
