Price,Close,High,Low,Open,Volume,Ticker
Ticker,BK,BK,BK,BK,BK,
Date,,,,,,
2019-01-02,38.85453414916992,38.89543303472364,37.962924714405155,38.077442842109534,4229500,BK
2019-01-03,38.08562088012695,38.75637252483825,38.02836182170414,38.72365217134388,4415700,BK
2019-01-04,39.18989944458008,39.238979966251975,38.37190947235308,38.756365757822685,4881500,BK
2019-01-07,39.09992218017578,39.53345901095454,38.658206822197855,38.97722554988255,4223100,BK
2019-01-08,38.95268630981445,39.43530057655084,38.461893515336726,39.328964113990835,4594500,BK
2019-01-09,39.06720733642578,39.24716616401227,38.76455186125418,39.01812992554563,5270800,BK
2019-01-10,38.829978942871094,39.19807187683504,38.62548148160952,38.85451763969972,4435400,BK
2019-01-11,39.328956604003906,39.500733737231286,38.331007909358185,38.53550538807189,3728400,BK
2019-01-14,39.607086181640625,39.99154259547428,38.960876259313714,38.96905478879766,4715900,BK
2019-01-15,40.4168815612793,40.482322252240806,39.3780339951445,39.459834858846385,6215800,BK
2019-01-16,41.25123596191406,41.50481398532789,39.88519103890751,40.97311923701588,7647700,BK
2019-01-17,42.151023864746094,42.1919258612119,40.7277230066482,40.85041963489292,7595500,BK
2019-01-18,43.075355529785156,43.38619261976221,42.11830867747694,42.371883593703366,8977100,BK
2019-01-22,43.018096923828125,43.35347272005468,42.70725983061821,42.75634035703591,6585700,BK
2019-01-23,43.402549743652344,43.50070766818145,42.67453603560768,43.44344861884079,6233200,BK
2019-01-24,43.934242248535156,43.975141124549005,43.16533277016836,43.238951995146984,6002500,BK
2019-01-25,43.90957260131836,44.312486387065206,43.89312669257043,44.222035457319805,8178600,BK
2019-01-28,43.94245910644531,43.96712953671393,43.449094415380024,43.59710445004686,5413400,BK
2019-01-29,43.259971618652344,44.15625322135586,43.202412508667955,43.868454534697676,4070300,BK
2019-01-30,43.19419479370117,43.76156773401765,42.725497317540345,43.19419479370117,4982300,BK
2019-01-31,43.021514892578125,43.07085262173851,42.5528174441324,42.947509867205824,4248800,BK
2019-02-01,43.26820755004883,43.35865850664205,42.94752007611815,43.04619242115744,4559100,BK
2019-02-04,43.07085418701172,43.33398247862323,42.96395733831434,43.33398247862323,4274100,BK
2019-02-05,43.26820755004883,43.375104420271484,42.939298687672085,43.16953520500953,3436900,BK
2019-02-06,43.021514892578125,43.31753499406733,42.84061302239327,43.10374130444222,3441600,BK
2019-02-07,42.84883117675781,43.25174492643568,42.47880610489522,43.005062590772646,3872700,BK
2019-02-08,42.61860656738281,42.7912839365603,42.092346798826696,42.57749021942317,3875500,BK
2019-02-11,42.76660919189453,42.848838742792616,42.51992681267355,42.75838780517304,3357100,BK
2019-02-12,43.4491081237793,43.638231419581494,43.18597978729475,43.194201175487365,4413600,BK
2019-02-13,43.11197280883789,43.67112128291955,43.09552689645466,43.547778508413835,4137200,BK
2019-02-14,42.56925964355469,42.86527971924305,41.92788490405408,42.86527971924305,3380300,BK
2019-02-15,43.572452545166016,43.572452545166016,42.82418072196309,42.85706941270965,4363500,BK
2019-02-19,43.572452545166016,43.71223810686651,43.05441724087559,43.30932106203233,3764800,BK
2019-02-20,43.84379196166992,43.89312969128437,43.25175175324283,43.58066367719934,4553400,BK
2019-02-21,43.539554595947266,43.868463414328936,43.424436352676835,43.72045334819928,2842300,BK
2019-02-22,43.76156997680664,43.85202092188326,43.44088254370728,43.704010854800956,2950400,BK
2019-02-25,43.52311325073242,44.1233749655737,43.498445949368474,43.87669254172262,4423700,BK
2019-02-26,43.613555908203125,43.90135149182645,43.30108989117165,43.47376724134565,3504500,BK
2019-02-27,43.37509536743164,43.671115477504294,43.31753625011047,43.613556360183125,3512900,BK
2019-02-28,43.15308380126953,43.58066809102385,43.054411468783734,43.416212112389594,4571900,BK
2019-03-01,43.32575988769531,43.827349196183974,43.087302019292125,43.42443535400366,4238000,BK
2019-03-04,42.68437957763672,43.91779451800773,42.429472694068274,43.44909709160566,3883300,BK
2019-03-05,43.292877197265625,43.4408872804869,42.42126261126672,42.61038590944118,4956900,BK
2019-03-06,42.80773162841797,43.4079933200927,42.80773162841797,43.29287506918756,3774000,BK
2019-03-07,42.1252326965332,42.63504334479829,42.026560376132075,42.618600572011864,4315600,BK
2019-03-08,42.33079147338867,42.3636832843636,41.64830364770549,41.79631366035692,3135800,BK
2019-03-11,42.61860656738281,42.75839211288736,42.33903233963676,42.5610443075867,3509700,BK
2019-03-12,42.68437957763672,42.8817273482601,42.635041850796775,42.75838459952843,3980200,BK
2019-03-13,43.12018966674805,43.25997833895174,42.62682489402885,42.90639910169952,4131600,BK
2019-03-14,43.38331985473633,43.49021671028833,42.97218148063757,43.03796512612707,3949300,BK
2019-03-15,43.67934036254883,43.75334539599412,43.12019191801485,43.210642862974304,9613000,BK
2019-03-18,44.386497497558594,44.54272894699311,43.819127683229986,43.975359132664494,3345600,BK
2019-03-19,43.67934036254883,44.624959885823415,43.65467306364603,44.550954852378126,4103100,BK
2019-03-20,42.741947174072266,43.58066987640395,42.68438804970277,43.5642239641931,4059200,BK
2019-03-21,42.66793441772461,42.799498554871,41.94433009505123,42.42947343891663,4643100,BK
