Price,Close,High,Low,Open,Volume,Ticker
Ticker,FRT,FRT,FRT,FRT,FRT,
Date,,,,,,
2019-01-02,87.88787841796875,90.36188478556565,87.3414715353166,88.82891506694786,475700,FRT
2019-01-03,88.4798355102539,90.08869990849304,87.88789652871061,87.88789652871061,621000,FRT
2019-01-04,89.47400665283203,90.17219088712773,88.6999280448682,88.84412040692432,419900,FRT
2019-01-07,90.62751770019531,91.52301678061117,89.11731363565512,89.65613004481413,481000,FRT
2019-01-08,92.56270599365234,92.74483972720053,90.89312843469179,90.95384160918351,460000,FRT
2019-01-09,92.55512237548828,92.91180506510257,91.46230831197681,92.91180506510257,230000,FRT
2019-01-10,93.87559509277344,94.14121378367268,91.71273891353232,92.15290074367317,356000,FRT
2019-01-11,93.65550231933594,95.04427973698523,92.76758823207871,93.84522661141148,544000,FRT
2019-01-14,93.34435272216797,93.67826933264959,92.93454755201124,93.48095444555355,425300,FRT
2019-01-15,94.3309326171875,94.40682118591272,92.43368944942368,93.47337499980519,296700,FRT
2019-01-16,94.8849105834961,95.06704427993962,93.63272911685453,94.37645087804812,258400,FRT
2019-01-17,95.31751251220703,95.5603594491964,94.49790192864502,94.93047321609258,337900,FRT
2019-01-18,95.55276489257812,95.87150037923765,94.67244121712562,95.30991219044466,474600,FRT
2019-01-22,95.84870910644531,95.93218825330484,94.89249710873409,95.52996791392452,316500,FRT
2019-01-23,95.69693756103516,95.87148646788404,95.14294583697924,95.87148646788404,213500,FRT
2019-01-24,96.14470672607422,96.45585162752336,95.0518926938236,95.59070911530071,239600,FRT
2019-01-25,97.48793029785156,97.51069628533612,96.37993539424772,96.6455482314436,315300,FRT
2019-01-28,98.26959991455078,98.46690901241855,97.06295038872379,97.16160493765767,410100,FRT
2019-01-29,98.92984008789062,98.96778726410376,97.9812185818238,98.23924085230941,401800,FRT
2019-01-30,99.74945831298828,100.15167293684281,98.5200484498747,98.75530474912696,504400,FRT
2019-01-31,100.60700988769531,100.69047746513225,98.7021704567759,99.52178084293146,745300,FRT
2019-02-01,100.30345916748047,101.66189187900636,98.55799298466202,100.88021697212602,386100,FRT
2019-02-04,101.93505859375,101.93505859375,99.74943135676544,100.03021956323771,470700,FRT
2019-02-05,101.86675262451172,101.99576373956623,100.57662989411605,101.85158302028218,333800,FRT
2019-02-06,101.25209045410156,101.68466753357518,100.7436305819898,101.68466753357518,239400,FRT
2019-02-07,102.89888000488281,103.07343471777625,100.44006021471826,101.28243666353298,309100,FRT
2019-02-08,103.60466003417969,103.74125598641642,102.58014407299012,102.67880442506345,399500,FRT
2019-02-11,103.57428741455078,103.9006192345974,101.32036178673366,103.55152142476292,371000,FRT
2019-02-12,102.51184844970703,103.79438673668271,102.02615464196188,103.79438673668271,370200,FRT
2019-02-13,102.89129638671875,103.17208467960884,102.1779310784376,102.23105944728367,520400,FRT
2019-02-14,101.85919952392578,103.83233719381705,101.2748453434046,102.75469280589598,622200,FRT
2019-02-15,102.8154067993164,102.8685351706293,101.67706080682663,102.47390531754033,524900,FRT
2019-02-19,102.70158386230469,103.49842842756527,102.51944432229068,102.8381798324239,311800,FRT
2019-02-20,101.41143798828125,102.58013459781878,100.83466869694763,102.5346026179456,409300,FRT
2019-02-21,102.04132080078125,102.21586391133282,100.69806953820108,101.20652926361797,360800,FRT
2019-02-22,102.57254791259766,103.27073194416631,101.64669240598761,102.23104648996168,296600,FRT
2019-02-25,101.85919952392578,102.99754550735824,101.60117721351274,102.69399121038458,273200,FRT
2019-02-26,101.49491882324219,102.09444253457518,101.41143966547656,102.09444253457518,269400,FRT
2019-02-27,101.02439880371094,101.32036826974318,100.09854322692229,101.0016328124664,224400,FRT
2019-02-28,101.38108825683594,102.42837024391986,100.5842437701353,101.00923598826851,501700,FRT
2019-03-01,100.5235366821289,101.48732786989109,99.43072276921897,101.31278474153426,353700,FRT
2019-03-04,100.9864730834961,101.14583503779691,99.83294590156936,100.80433355586948,275800,FRT
2019-03-05,101.91992950439453,102.26143103976204,100.82711532733364,101.07755287456477,286500,FRT
2019-03-06,100.75878143310547,102.1930966344479,100.74360024720686,101.7149877073831,296800,FRT
2019-03-07,100.44764709472656,101.4645666975974,100.1289116182978,100.50076388420445,393600,FRT
2019-03-08,100.04544067382812,100.99406237681914,99.71152398159852,100.34899498684334,386800,FRT
2019-03-11,100.85743713378906,100.88020312427798,99.3548238622566,100.28826421186056,568300,FRT
2019-03-12,101.69220733642578,101.9198787732983,100.93331026675096,101.15338532182253,366900,FRT
2019-03-13,102.36518859863281,102.89284607454803,101.70753041641127,101.90635296687832,258700,FRT
2019-03-14,102.07459259033203,103.39756361414523,101.56223274376028,102.60225006970927,389500,FRT
2019-03-15,101.46283721923828,102.23521031312191,100.89695304047075,101.95226822373814,660600,FRT
2019-03-18,101.24105072021484,101.92164950987994,100.56809491248316,101.49340914811422,664300,FRT
2019-03-19,100.39220428466797,101.32516142143851,100.03278579745275,101.24868493402832,334600,FRT
2019-03-20,100.71339416503906,101.34046874951851,99.71161509494735,100.38457090879362,332000,FRT
2019-03-21,102.51811218261719,102.73988697810921,100.43043492354823,100.44573255360665,327500,FRT
2019-03-22,102.8698959350586,104.10873568994626,102.51047744615376,102.82401470986628,374600,FRT
2019-03-25,103.38226318359375,103.80286055930021,102.61754492546366,103.13754774002832,267400,FRT
2019-03-26,105.0111312866211,105.04171488694642,103.787577237436,103.88699435867669,418900,FRT
2019-03-27,104.79698181152344,105.60759294247487,104.48345620330201,104.79698181152344,445700,FRT
2019-03-28,106.10462188720703,106.18874133346803,104.75872241570153,104.75872241570153,319200,FRT
2019-03-29,105.41638946533203,106.51757367241773,105.23285292981528,106.07404746509421,490700,FRT
2019-04-01,104.94227600097656,105.58464816134449,103.94049701945201,105.46993342939453,331400,FRT
2019-04-02,105.23287200927734,105.53875462192566,103.11459932723285,104.81992931533473,317000,FRT
2019-04-03,105.05699920654297,105.9134799312166,104.37640041597022,105.37052482767724,429900,FRT
2019-04-04,105.24813079833984,105.40871502668027,104.72811654634222,105.40871502668027,145300,FRT
2019-04-05,106.23466491699219,106.31878439680352,105.08758746611507,105.70700742260068,172000,FRT
2019-04-08,105.46229553222656,106.29583561534709,105.32464018098524,106.29583561534709,170500,FRT
2019-04-09,104.75109100341797,105.66110748700714,104.52167322011994,105.58464267168992,246000,FRT
2019-04-10,105.94403839111328,106.26523025533382,105.03403367139495,105.22521319269805,361900,FRT
2019-04-11,104.71287536621094,106.12760894472537,104.50640981847802,106.0281918278109,285700,FRT
2019-04-12,105.6152572631836,105.64584086455243,103.83346201502626,104.62112102288562,382700,FRT
2019-04-15,104.39933776855469,105.76053530717003,104.200503557486,105.76053530717003,278400,FRT
2019-04-16,101.3175277709961,104.59052103239054,100.80516793044845,104.29992435587779,315500,FRT
2019-04-17,100.18574523925781,101.45518048054886,99.95633907284746,101.45518048054886,525000,FRT
2019-04-18,101.09574127197266,101.67693455792921,100.11690293303607,100.29278484757236,322200,FRT
2019-04-22,99.09981536865234,100.91984817309998,98.0827388996182,100.68278743006799,389900,FRT
2019-04-23,100.522216796875,100.60633627544678,99.15337619321609,99.58925955041526,352400,FRT
2019-04-24,101.7992935180664,102.33460564805162,100.45339354838977,101.25635007469269,339800,FRT
2019-04-25,102.25811004638672,102.60987385437639,100.91985330881896,101.33279596790958,273600,FRT
2019-04-26,102.39576721191406,102.95401992607013,102.19694467112342,102.75518571660524,278800,FRT
2019-04-29,101.41690826416016,102.64810484248144,101.35572941738168,102.34222227726092,282800,FRT
2019-04-30,102.35753631591797,102.51812060436819,100.46868141774968,101.69222354346,534200,FRT
2019-05-01,102.34989166259766,103.48168311698261,102.21989095540646,102.24283157028285,317200,FRT
2019-05-02,102.54106903076172,103.5199074733882,102.08224507441005,102.57930727762636,493700,FRT
2019-05-03,101.67693328857422,103.23695322531833,101.07279939820606,102.31929375260572,444800,FRT
2019-05-06,101.56990051269531,102.79344291563619,101.36342328351616,101.9140214488763,328500,FRT
2019-05-07,99.2298355102539,101.66928858468644,98.64101086162664,101.33281068908548,450800,FRT
2019-05-08,99.04629516601562,101.04220994604105,98.99275929611426,99.6351197228949,419900,FRT
2019-05-09,98.68688201904297,99.39806431507584,98.0445215577217,98.78628744629086,402600,FRT
2019-05-10,98.92396545410156,99.36750349389636,98.0292463917947,98.6180827839487,623700,FRT
2019-05-13,98.79395294189453,99.27572917511328,98.27393846230255,98.41923679731612,1015300,FRT
2019-05-14,98.3809814453125,99.29865252401525,98.2280401550862,98.81687637456356,582200,FRT
2019-05-15,99.4822006225586,99.5510224689216,98.052181138754,98.15159825150626,765000,FRT
2019-05-16,99.78043365478516,100.17809041066702,99.03101303955252,99.4898486554681,461200,FRT
2019-05-17,100.26221466064453,100.29279825778103,99.13807784990982,99.16101846493093,871200,FRT
2019-05-20,99.55866241455078,100.56808435147059,99.1304220977561,100.56044137033979,545700,FRT
2019-05-21,100.79749298095703,100.81279061050198,99.79571411620343,100.02513188468781,511000,FRT
2019-05-22,101.03458404541016,101.11870353013883,100.24692508325809,100.8128208594942,619100,FRT
2019-05-23,101.11105346679688,101.34811427024694,100.01750024190368,100.96575512437906,680400,FRT
2019-05-24,101.28691101074219,101.89104485016006,101.03455263501131,101.37868511834488,371400,FRT
2019-05-28,101.39398193359375,102.1204618798,101.24868361061779,101.89869873908701,1666900,FRT
2019-05-29,99.37512969970703,101.49340242236192,99.1227712885309,101.49340242236192,588700,FRT
2019-05-30,99.89514923095703,100.19338888320127,99.39807536476695,99.65043378876969,298600,FRT
2019-05-31,99.97161102294922,100.78221048042849,99.24513103758615,99.56631129420958,614000,FRT
2019-06-03,100.06338500976562,100.53750657813781,99.06924897755938,100.19338570855561,489000,FRT
2019-06-04,99.16864013671875,100.27749074494203,98.6792210069811,100.03277534573697,552400,FRT
2019-06-05,101.50106048583984,101.6081205850947,99.35984683206709,99.86456372941525,471400,FRT
2019-06-06,101.11105346679688,101.9369506221125,100.43045465389905,101.78400929750038,280900,FRT
2019-06-07,100.86634826660156,101.95225861969465,100.86634826660156,101.68460252290703,240300,FRT
2019-06-10,100.28516387939453,100.70576130532416,99.69632748309304,100.62164182013824,341900,FRT
2019-06-11,100.04044342041016,100.70574453969022,99.43630949046758,100.4610291076441,308100,FRT
