Price,Close,High,Low,Open,Volume,Ticker
Ticker,INTU,INTU,INTU,INTU,INTU,
Date,,,,,,
2019-01-02,185.57400512695312,186.85270356741646,182.3677071551425,182.7398660911215,1485600,INTU
2019-01-03,179.89617919921875,184.40026452797227,179.60036244190792,182.50129159835,2015900,INTU
2019-01-04,187.03402709960938,189.20972788264044,181.079469158231,183.03569531301036,1736400,INTU
2019-01-07,189.88722229003906,191.24226274691884,186.39464522695036,186.39464522695036,1175400,INTU
2019-01-08,194.4390411376953,194.53447248535784,189.01887840054434,191.64308029269117,1654000,INTU
2019-01-09,193.83642578125,196.07454143447072,191.61742884358753,195.17546559229504,1643200,INTU
2019-01-10,197.0884246826172,198.2648680640556,192.35394388929677,192.96607857336022,1507300,INTU
2019-01-11,197.1744842529297,197.9874821672381,195.1754837085929,196.49540492659554,1479600,INTU
2019-01-14,196.21803283691406,197.35622413630878,194.0755688328218,194.8789928343564,1058000,INTU
2019-01-15,200.6751708984375,201.09601626401772,196.43805375609085,196.43805375609085,1559900,INTU
2019-01-16,200.84732055664062,205.04618522443968,200.13953391627103,201.80378188957383,1340700,INTU
2019-01-17,202.51153564453125,202.87499558843928,199.4317292631011,199.4317292631011,1106400,INTU
2019-01-18,204.55836486816406,205.94524536978219,201.7081144017277,204.8548655234538,1623000,INTU
2019-01-22,203.09498596191406,206.4234817451152,201.68898670397104,203.57321660490308,1656500,INTU
2019-01-23,202.99935913085938,207.06431980734192,200.76122851367913,203.726264491949,1454700,INTU
2019-01-24,202.9228515625,204.27146562212494,201.11514012312023,203.09500760699208,966200,INTU
2019-01-25,204.9696807861328,206.1269909063824,203.4967220583426,205.2566221248075,1127500,INTU
2019-01-28,201.86114501953125,203.63058953406448,200.61774250466675,203.56364483723615,972500,INTU
2019-01-29,199.25961303710938,202.64548010449806,198.6474783008521,202.01422664748887,995700,INTU
2019-01-30,204.7783966064453,205.30443871380893,200.47432020075166,200.58909090134838,1251400,INTU
2019-01-31,206.42352294921875,207.9347192396052,204.0132359409943,204.30017730295216,2792300,INTU
2019-02-01,205.1131591796875,207.41823482344782,203.41065893182932,206.34700264801629,1935000,INTU
2019-02-04,211.2919158935547,212.67878216558876,206.17484097202674,207.43737717185545,2256000,INTU
2019-02-05,214.71600341796875,215.65333140957182,211.55967819545404,211.78921956800264,1818200,INTU
2019-02-06,214.80210876464844,215.0603574360671,211.454493774237,214.3908227624303,915900,INTU
2019-02-07,211.34925842285156,213.71171904381947,210.89972043622583,212.4874497253958,1166400,INTU
2019-02-08,215.0412139892578,215.1177326510523,209.30244570465368,209.76154308097813,1400600,INTU
2019-02-11,215.6533203125,217.42277947186287,214.87858903113198,216.95410820295754,1472900,INTU
2019-02-12,218.9914093017578,219.2783360471682,215.97854712496357,217.67148789509883,1394900,INTU
2019-02-13,218.6374969482422,220.4643416332051,218.20709225873603,219.98611095721117,1133100,INTU
2019-02-14,220.73214721679688,221.32514857828662,216.648053202278,217.73841854777567,1356200,INTU
2019-02-15,223.16156005859375,223.5536981042769,221.23906348329334,223.18067877681347,1142500,INTU
2019-02-19,224.41448974609375,224.54839372656895,222.48243408971825,223.19977996964369,1398700,INTU
2019-02-20,225.69619750976562,226.1744282093084,223.5441593618232,225.47621547441992,1904400,INTU
2019-02-21,224.797119140625,226.45179325753023,222.82681101394434,224.797119140625,2289200,INTU
2019-02-22,240.01443481445312,240.61701018867586,226.41355204230592,226.41355204230592,3333700,INTU
2019-02-25,236.9345703125,238.79010738094314,234.4477653475771,236.34156903701643,2876900,INTU
2019-02-26,238.07281494140625,238.4649676252621,234.7251999800323,235.5764500578611,1306900,INTU
2019-02-27,238.9718475341797,238.99096625105327,235.7485632192583,236.77198375516863,1524800,INTU
2019-02-28,236.37033081054688,239.5075233051945,236.13121543995211,238.49367646898378,1677800,INTU
2019-03-01,239.50747680664062,241.04738007808808,237.8049768660889,239.11532417233212,1943100,INTU
2019-03-04,238.1588592529297,241.2195324368904,234.3617067952775,239.76570720159373,1447400,INTU
2019-03-05,236.33204650878906,238.00585397780864,235.18429573463567,237.3841598985214,1357500,INTU
2019-03-06,236.15988159179688,238.19713439622151,234.06522884554357,236.57115297769343,800400,INTU
2019-03-07,234.74432373046875,236.69551323693904,233.62526559930637,235.45211044861085,960700,INTU
2019-03-08,235.1747283935547,235.3660177503481,229.56029017806995,232.24795891073234,1080600,INTU
2019-03-11,239.6317901611328,239.8230940826997,235.7963858825354,236.6859024156129,1467700,INTU
2019-03-12,239.40228271484375,240.91349342373817,237.5849973636426,238.88578540456172,1326200,INTU
2019-03-13,242.6063995361328,244.62453343486789,240.1578609772666,240.1578609772666,1374100,INTU
