Price,Close,High,Low,Open,Volume,Ticker
Ticker,MLM,MLM,MLM,MLM,MLM,
Date,,,,,,
2019-01-02,162.770751953125,165.03701601592263,159.60940831831252,161.4471808601328,647800,MLM
2019-01-03,162.36126708984375,166.18915406662256,159.80935212503562,163.31347676857513,717400,MLM
2019-01-04,167.96029663085938,168.64588889245204,163.66583539273452,164.00863152353085,820200,MLM
2019-01-07,170.6074676513672,172.4452405465458,166.07495318385043,167.73178932080742,689600,MLM
2019-01-08,169.95033264160156,172.6450870346838,167.92213646392713,172.08328696586878,663800,MLM
2019-01-09,170.75022888183594,172.04521996242062,169.0552824620172,170.12176707185918,541000,MLM
2019-01-10,170.95022583007812,172.20714975202367,169.131501607976,169.626654776885,486000,MLM
2019-01-11,169.4838104248047,171.30251991675055,168.06501273537467,169.32193651869258,560200,MLM
2019-01-14,170.64547729492188,173.21644013553632,168.4458610625032,168.54108782790408,638500,MLM
2019-01-15,167.9697723388672,171.1977623922132,165.30359700774696,169.55997520148182,517900,MLM
2019-01-16,166.34149169921875,167.89359794396498,165.7225467625009,166.96995350096978,679400,MLM
2019-01-17,168.76010131835938,170.03607320954586,164.92269783868798,165.913003947383,579000,MLM
2019-01-18,171.8452911376953,174.6733551981974,169.85517628906567,169.97895367386144,627300,MLM
2019-01-22,171.62628173828125,172.96888637421563,167.90313832028826,171.083515234521,731600,MLM
2019-01-23,166.51290893554688,170.9121277180529,163.62771464893544,170.75977067589528,814300,MLM
2019-01-24,167.62701416015625,170.98832826896788,166.10348713099322,166.703383980799,555000,MLM
2019-01-25,167.30325317382812,170.27415752729118,166.35104340672657,168.3125932022249,696400,MLM
2019-01-28,171.03591918945312,171.24540650728323,166.04634914912788,166.04634914912788,791000,MLM
2019-01-29,171.66432189941406,173.17833146794467,170.59785194365364,170.59785194365364,838500,MLM
2019-01-30,169.9980010986328,173.76875800390118,169.38858745561205,172.45470393350098,688400,MLM
2019-01-31,168.2363739013672,171.66433404391523,167.36034287150812,169.1409845845149,1316800,MLM
2019-02-01,175.02561950683594,176.2063644745504,168.69343237388182,168.9790981194086,941200,MLM
2019-02-04,177.0728759765625,177.75845341437707,174.91135645359205,175.28271755845805,666100,MLM
2019-02-05,178.9297332763672,179.07255892358123,176.5492089590175,177.87277989828124,732100,MLM
2019-02-06,173.39743041992188,180.2533388658929,173.18794307735976,177.282434066635,722800,MLM
2019-02-07,173.54971313476562,175.58744105847697,171.57864685596635,173.32119213407304,1076100,MLM
2019-02-08,175.53030395507812,175.6636127101324,172.10235831244026,173.2069103416481,409400,MLM
2019-02-11,177.1015167236328,178.13942198177708,175.07330507658978,175.9969498012339,1244300,MLM
2019-02-12,175.73980712890625,180.75795595130623,174.2638792953103,176.863422048581,1976300,MLM
2019-02-13,171.7976531982422,177.2442932380436,171.24536989019907,176.93959372335124,1335800,MLM
2019-02-14,178.52981567382812,179.1201810839683,172.16904683112824,174.31151882161927,1709600,MLM
2019-02-15,180.97702026367188,183.94791064986018,178.82503101336505,180.93893825879005,1578700,MLM
2019-02-19,179.9771728515625,183.45274741238117,179.8914774548571,180.96747920094307,857900,MLM
2019-02-20,183.08135986328125,184.51919125431746,180.20568255164216,180.5103966244684,681300,MLM
2019-02-21,181.28172302246094,183.947899083669,180.9674920160536,182.54816391631968,397300,MLM
2019-02-22,180.9198760986328,182.74811731355484,180.13905702759266,182.29106064221673,422100,MLM
2019-02-25,179.59629821777344,182.99567978578773,179.33919749310326,182.1386967429792,590000,MLM
2019-02-26,181.96731567382812,183.30040370714303,178.53935426020428,178.7012281978518,487000,MLM
2019-02-27,180.79612731933594,183.71941930508743,180.07245287285429,181.5578983064379,766100,MLM
2019-02-28,178.8249969482422,180.6818030858991,178.01561283537146,180.26282846415745,695500,MLM
2019-03-01,183.73191833496094,185.34526436110642,179.89422182177273,179.95149848264404,693300,MLM
2019-03-04,186.2330780029297,186.56719668077716,182.55767057901176,183.77007985990824,511700,MLM
2019-03-05,185.2115936279297,187.85597752661891,184.8583778801377,185.90849843681553,574500,MLM
2019-03-06,186.7486114501953,188.3142367259374,185.78442028144008,186.6054197898659,503600,MLM
2019-03-07,188.02781677246094,188.92517528036538,185.59345705352732,185.60299830675652,885100,MLM
2019-03-08,187.52182006835938,188.87743536347256,185.9561952558315,187.16860436618336,549500,MLM
2019-03-11,189.6220703125,191.1876952026562,187.2545286215922,187.73185346086905,505300,MLM
2019-03-12,187.120849609375,190.24255765915424,186.3475858187865,189.75569164165674,672200,MLM
2019-03-13,182.0325469970703,187.91319100376307,181.937090793792,187.59815494267656,837700,MLM
2019-03-14,183.00634765625,183.62687871177127,181.4025431253246,181.93714463563308,579900,MLM
2019-03-15,184.7246856689453,185.0397217646133,182.7676512019875,182.987216517103,649900,MLM
2019-03-18,186.1185302734375,186.3571927219706,183.11137468184066,185.2020600616785,401400,MLM
2019-03-19,188.8011016845703,190.4908214020784,186.49085083509334,187.71280145685307,620500,MLM
2019-03-20,186.88221740722656,189.03973502172178,184.1901128657142,188.2760123590721,590300,MLM
2019-03-21,189.67938232421875,190.94906838141696,186.37628741123982,187.2641193525472,472700,MLM
2019-03-22,183.39772033691406,190.27119398505897,183.28316705559695,189.4215564927671,849200,MLM
2019-03-25,187.52182006835938,188.00870070303156,182.92995767288176,182.92995767288176,387400,MLM
2019-03-26,187.81773376464844,189.31652579232139,184.3237133610982,188.92511603069428,580700,MLM
2019-03-27,187.5314178466797,189.9848603731249,185.91805727824965,187.11136958427178,528700,MLM
2019-03-28,188.93472290039062,189.8798167670204,187.19725347936517,187.78914619025863,404200,MLM
2019-03-29,192.0564422607422,194.56717592865408,190.7103970960671,190.95860080323553,1004400,MLM
2019-04-01,194.74859619140625,195.76052284092808,193.05886164574665,194.65312536655213,813000,MLM
2019-04-02,196.11366271972656,198.29027723563672,194.54803793936804,195.3690371880193,1019800,MLM
2019-04-03,193.46934509277344,197.31658288250125,192.42878023619318,196.25692094992107,557100,MLM
2019-04-04,194.57675170898438,197.31659229016287,192.90611436596305,193.56481056795525,452900,MLM
2019-04-05,196.4860382080078,197.4215909779657,194.92039847713863,195.36908506990224,446100,MLM
2019-04-08,196.4860382080078,197.45022930798885,195.5886650224806,195.5886650224806,320100,MLM
2019-04-09,195.68409729003906,197.0206156501605,194.32849642344073,196.36190500673763,357400,MLM
2019-04-10,195.5504150390625,195.8177157541612,193.57429799766874,195.34039096765687,289300,MLM
2019-04-11,197.81298828125,198.47168439652853,195.3690725965018,196.3428194555218,528000,MLM
2019-04-12,202.53848266601562,204.6578061529911,198.97762881770194,201.4215442715499,736300,MLM
2019-04-15,202.05162048339844,203.3881389179463,200.10414133799395,202.29028292883916,450600,MLM
2019-04-16,202.39524841308594,202.50981626595734,198.92988040814757,200.09455403923207,566400,MLM
2019-04-17,200.1041259765625,202.95853384895656,198.31893568308578,202.95853384895656,469500,MLM
2019-04-18,201.97523498535156,203.50266569694026,200.54326049941344,200.88692039191272,465400,MLM
2019-04-22,202.5289764404297,202.83447140951787,199.44546125105552,200.99198947335924,279200,MLM
2019-04-23,202.5002899169922,204.0468323380523,201.1828832350205,202.53848406243972,351100,MLM
2019-04-24,204.3332061767578,206.15659051767594,202.8153167181454,203.01579955550824,496900,MLM
2019-04-25,202.71990966796875,204.70556861744262,200.93470447088797,203.5504504096622,374700,MLM
2019-04-26,204.56236267089844,205.15424089909894,202.4144005716286,203.11129086290984,799000,MLM
2019-04-29,204.50506591796875,205.82248720411621,203.67452531590126,204.2473064126793,922700,MLM
2019-04-30,211.8367462158203,216.87729507654507,209.71742288042498,216.04675456317025,1415800,MLM
2019-05-01,209.22103881835938,217.00142830956725,208.6005077523104,213.36421516034054,935200,MLM
2019-05-02,212.82962036132812,214.1661242019758,209.79382654214356,210.5480080118514,726500,MLM
2019-05-03,211.3976287841797,214.80572058823333,210.3093287248855,213.2400956859715,419500,MLM
2019-05-06,210.79615783691406,212.48589156326256,206.9011860536474,208.36179865152295,659600,MLM
2019-05-07,210.2520751953125,210.55755555366963,207.86545071802337,208.4859672553986,488300,MLM
2019-05-08,206.33798217773438,210.76755613012438,206.06114017868418,209.8033651930483,463100,MLM
2019-05-09,207.10169982910156,207.63630130867995,203.19718621086867,204.64824320778203,506900,MLM
2019-05-10,206.0802459716797,208.75326830308086,203.7986335510951,206.4430175540755,606000,MLM
2019-05-13,202.85354614257812,204.7437487135003,201.0969793974097,202.76761658773597,699300,MLM
2019-05-14,205.8988494873047,207.03488501166115,202.90124987827963,203.83681711410205,652000,MLM
2019-05-15,207.4549102783203,207.80812598262244,203.11125151676706,204.1327336203831,624300,MLM
2019-05-16,209.65065002441406,210.6339381852619,207.55042330901483,207.8654595013448,767500,MLM
2019-05-17,207.66500854492188,210.2330193163799,207.12086563220993,208.0277801979316,395100,MLM
2019-05-20,207.83680725097656,209.60290058042486,205.67928945409886,206.7007716971869,493400,MLM
2019-05-21,210.32847595214844,212.6005328410452,208.51463237626425,208.51463237626425,412700,MLM
2019-05-22,205.64109802246094,210.18522540895893,205.44061517348666,209.5742501757592,452800,MLM
2019-05-23,203.0826416015625,204.34278629069743,200.62919926609146,203.82726725721514,451000,MLM
2019-05-24,202.5002899169922,204.59097509289316,200.753279216127,203.49313376345034,426300,MLM
2019-05-28,199.1017608642578,204.82965969034944,199.08266378946684,203.57907077734077,602100,MLM
2019-05-29,200.83917236328125,201.05873767601983,197.64109061774278,199.54084842252124,434400,MLM
2019-05-30,202.92031860351562,203.78905324393025,200.89646609336023,200.89646609336023,549200,MLM
2019-05-31,201.40858459472656,202.24100495176722,196.1652678105518,199.62891670742854,647800,MLM
2019-06-03,206.91026306152344,207.18773167248213,201.37989974166402,201.37989974166402,715900,MLM
2019-06-04,214.00022888183594,214.0863383184441,207.99146042014223,208.14453899641154,722800,MLM
2019-06-05,216.09559631347656,216.1912685766297,212.63193335258612,213.8662267253151,642000,MLM
2019-06-06,219.4827423095703,220.0089909620819,216.23915556015865,217.40646544399587,688900,MLM
2019-06-07,220.66917419433594,221.69295367000663,218.87992892414107,220.06637900600268,574200,MLM
2019-06-10,219.6071014404297,222.40098573006318,218.06663629240313,221.76948743589338,510800,MLM
2019-06-11,211.39768981933594,221.33894918353138,206.78585673346302,220.67874767872843,980200,MLM
2019-06-12,210.0390167236328,211.95263746557612,208.25934884963482,211.95263746557612,729100,MLM
2019-06-13,212.957275390625,216.0477685704095,209.57972160123967,210.83315535752405,452400,MLM
2019-06-14,214.30636596679688,214.70822453906362,210.94796708443212,212.82330708834357,306000,MLM
2019-06-17,214.73695373535156,216.5261991334513,214.2585485294004,214.3255322661223,429900,MLM
2019-06-18,211.79000854492188,217.827480422054,211.71346195348082,217.01418566279108,471900,MLM
2019-06-19,212.6223907470703,213.10079590767486,204.9392050357425,212.6893598776762,513700,MLM
2019-06-20,214.33509826660156,216.89935780009247,211.4168381471945,214.38294170785397,470900,MLM
2019-06-21,215.21536254882812,217.48301319089032,213.7323180653347,215.0527065280504,636300,MLM
