Price,Close,High,Low,Open,Volume,Ticker
Ticker,MPWR,MPWR,MPWR,MPWR,MPWR,
Date,,,,,,
2019-01-02,109.38212585449219,110.53810579423029,106.83328507684116,107.27862232205483,247300,MPWR
2019-01-03,102.9105453491211,107.72396727961085,101.81141443296423,107.72396727961085,494200,MPWR
2019-01-04,107.14598846435547,107.99876129375279,103.58329710433584,104.7771790654921,398000,MPWR
2019-01-07,109.96012115478516,111.17295025558826,106.9564657262596,107.1270202703745,392700,MPWR
2019-01-08,111.83623504638672,112.11101782100344,109.31582545040413,111.16349400330428,304100,MPWR
2019-01-09,115.55999755859375,116.24221582631453,112.94482994200828,112.94482994200828,298800,MPWR
2019-01-10,116.346435546875,116.91494831890093,113.57019082729906,114.49876000150059,227300,MPWR
2019-01-11,117.65399932861328,119.63432733851789,115.23781857533265,116.40326851200078,312300,MPWR
2019-01-14,114.11975860595703,116.54541700430094,112.89745214550122,115.9295251434311,350800,MPWR
2019-01-15,116.20430755615234,116.91495034073206,114.39454102385277,114.39454102385277,233400,MPWR
2019-01-16,115.01041412353516,118.71523493898525,114.87776139536865,116.73490681873125,233200,MPWR
2019-01-17,116.16638946533203,117.17076937590039,113.62702598170218,114.43241957891769,247600,MPWR
2019-01-18,118.2225341796875,119.77647976821221,116.00533209200923,117.27501043711749,265700,MPWR
2019-01-22,114.63141632080078,117.71086823603542,113.64599084044187,117.01917277891638,264000,MPWR
2019-01-23,113.36172485351562,116.72543658233171,111.93096216905518,115.14306664935796,179600,MPWR
2019-01-24,120.14599609375,120.63870518793763,114.19554177759845,114.19554177759845,322500,MPWR
2019-01-25,123.85082244873047,124.56146518505811,120.8092651757002,122.74220705696347,326300,MPWR
2019-01-28,121.52937316894531,123.77501395899678,119.89963863004982,121.37778037927946,247700,MPWR
2019-01-29,119.81436920166016,122.60956123037276,119.60592005965,121.31145838548015,201800,MPWR
2019-01-30,120.10810089111328,122.72326821086286,117.57820723063344,121.29249823437344,406000,MPWR
2019-01-31,119.91859436035156,121.28303076980207,118.84789520678841,119.89964706756786,355000,MPWR
2019-02-01,122.74222564697266,123.03597016725068,119.31219414671371,119.90913876221991,335100,MPWR
2019-02-04,124.5046157836914,124.55199486311528,121.15038804823178,122.62852279463992,277900,MPWR
2019-02-05,125.50899505615234,125.63216330507257,123.9171477296626,123.9171477296626,283900,MPWR
2019-02-06,127.83993530273438,129.55495141546058,126.4660284055498,126.4660284055498,355800,MPWR
2019-02-07,124.20140838623047,126.75971948575592,123.08332290153956,126.49441400628301,328700,MPWR
2019-02-08,124.4003677368164,125.07311585790278,122.41057684118746,122.75168591730426,312600,MPWR
2019-02-11,123.81290435791016,125.97325696182047,122.90328981840183,125.12049152377361,520600,MPWR
2019-02-12,125.0731201171875,125.85009643960404,122.7611601290039,124.46670556766912,943800,MPWR
2019-02-13,127.23351287841797,128.39896327060526,122.28743677939072,122.42957404452976,813700,MPWR
2019-02-14,128.8632049560547,129.3748613200681,125.91640608792831,126.7597014832153,414500,MPWR
2019-02-15,131.21307373046875,131.30783188066331,128.20942543251783,129.47910367996766,340800,MPWR
2019-02-19,129.26113891601562,130.85298572678573,129.16639525200733,130.21813233343858,233100,MPWR
2019-02-20,129.47909545898438,130.25607175866878,128.71160364855552,129.46015539659905,355900,MPWR
2019-02-21,128.19044494628906,129.89599009789166,127.40401318283149,129.71595832382516,309400,MPWR
2019-02-22,129.39381408691406,129.85810583279545,128.0862269571687,129.09061406814038,333100,MPWR
2019-02-25,130.3223876953125,131.87632579848812,130.00023314591255,130.75825490654853,272700,MPWR
2019-02-26,129.47909545898438,130.54980176433287,129.25169904585752,130.09499448001628,236200,MPWR
2019-02-27,127.849365234375,128.89164708216504,126.02065144278288,128.82532794170433,471500,MPWR
2019-02-28,127.07239532470703,128.45578619397034,126.54178440216108,126.91131804165296,223600,MPWR
2019-03-01,129.0337677001953,129.4127858467331,127.17662938538399,128.37998850628753,201200,MPWR
2019-03-04,129.33697509765625,130.54033415231703,127.73565785458564,130.00023874500596,233600,MPWR
2019-03-05,129.9054718017578,130.92878441272737,128.46523209815314,129.56436277874778,250800,MPWR
2019-03-06,127.849365234375,130.04762714678156,127.41351243116404,130.04762714678156,168800,MPWR
2019-03-07,127.06292724609375,128.0293909592718,125.25315360468886,127.27138360573534,219400,MPWR
2019-03-08,127.25243377685547,127.45140565417357,125.24367373333385,125.28158277724665,120900,MPWR
2019-03-11,130.2844696044922,130.90983852852813,120.97031269707294,127.60297660421072,188400,MPWR
2019-03-12,130.46450805664062,131.3741224854634,128.68315931794342,130.50240263364964,161800,MPWR
2019-03-13,131.4120635986328,133.00389646667443,129.93392894743297,131.39310907647112,290200,MPWR
2019-03-14,130.71087646484375,131.98055460663508,130.4076764339673,131.21306281134423,195700,MPWR
2019-03-15,133.69561767578125,134.54838333623513,131.60158365808368,131.60158365808368,392900,MPWR
2019-03-18,133.52505493164062,134.42519966870523,131.98058647901226,133.70508677066675,220800,MPWR
2019-03-19,134.0935516357422,134.8041943766312,133.31657529916635,134.1977798160618,200100,MPWR
2019-03-20,133.15550231933594,134.97474605988154,132.388010447644,134.6146968910031,147400,MPWR
2019-03-21,137.40037536621094,138.04469885425547,132.75751607255475,132.77647059051338,228300,MPWR
2019-03-22,132.3406524658203,136.44343241149502,132.28380334893947,136.32024968620897,267400,MPWR
2019-03-25,131.34571838378906,132.4543192741435,129.34644298544146,132.22692286057105,176900,MPWR
2019-03-26,132.899658203125,133.8187572743985,131.55417639296638,133.05126545279268,161600,MPWR
2019-03-27,128.30421447753906,133.67667324336938,127.11980960522902,132.28381195688738,375600,MPWR
2019-03-28,127.61994934082031,129.8627311815762,126.90720105881188,128.7033261494371,317100,MPWR
2019-03-29,128.76034545898438,129.91023778640138,127.9240495838451,129.1024651805505,285900,MPWR
2019-04-01,133.3694610595703,133.4549873770494,129.54914053648892,130.14783925974407,224400,MPWR
2019-04-02,131.5638427734375,133.75910534383857,131.11718598628465,133.340957330257,381500,MPWR
2019-04-03,137.58889770507812,138.26363898113732,132.53314518225864,132.78022598006595,419100,MPWR
2019-04-04,136.60060119628906,138.14963107020196,135.78331584834336,137.33234572225624,229400,MPWR
2019-04-05,137.4368438720703,138.55824182357716,136.809636527256,137.30379813215237,363100,MPWR
2019-04-08,138.5867156982422,138.66274388775395,135.8497588793958,137.21823728881898,235500,MPWR
2019-04-09,138.8053741455078,140.19286409183613,137.5604425811528,138.46325433003668,325600,MPWR
2019-04-10,141.456787109375,141.83691374115148,138.4727480971349,138.84337663843252,252400,MPWR
2019-04-11,141.46624755859375,142.90124188776423,140.21180390589032,141.3426999107342,293900,MPWR
2019-04-12,144.6783905029297,144.79242557778835,142.4260962681733,142.91077433812197,282300,MPWR
2019-04-15,144.0416717529297,145.91381041870756,142.7967260043295,144.5833528641193,198100,MPWR
2019-04-16,147.1112060546875,148.6317265857206,144.2697118328661,144.4692876749044,345700,MPWR
2019-04-17,147.38682556152344,153.21235900460883,145.59070062161044,148.05205433539868,253700,MPWR
2019-04-18,146.26539611816406,148.82178792694404,146.1133397315619,147.53883572894298,223900,MPWR
2019-04-22,145.7332763671875,146.6740948522523,143.83261421437592,145.2961176916442,147200,MPWR
2019-04-23,147.0161895751953,147.9855311682517,145.7427496299618,145.7427496299618,192500,MPWR
2019-04-24,149.70562744140625,150.6464602648243,147.32030207206626,147.44383523004313,203900,MPWR
2019-04-25,148.0045623779297,149.13544414232214,145.25810623403174,149.13544414232214,209600,MPWR
2019-04-26,147.2822723388672,147.52936764256606,142.93926785749932,146.78811073326565,385800,MPWR
2019-04-29,146.5410614013672,148.75533473565582,144.97302079383232,146.58858085936274,204800,MPWR
2019-04-30,147.9760284423828,148.18508789619776,145.96131710613497,146.6455565032156,379500,MPWR
2019-05-01,146.7310791015625,149.6961212477561,146.55052841877182,149.16393828587212,227300,MPWR
2019-05-02,148.41319274902344,149.20196923092556,145.16306242053426,146.66458716309367,389000,MPWR
2019-05-03,137.76947021484375,140.99109135030534,133.0463245338212,138.10209182653773,957600,MPWR
2019-05-06,134.1962127685547,135.53616811716233,129.12143549822542,129.14044617364368,473200,MPWR
2019-05-07,131.54481506347656,133.6450529504174,130.16683801592364,132.55216360167523,296400,MPWR
2019-05-08,130.4329376220703,132.5806805913698,129.13098871378136,130.32840062572515,271800,MPWR
2019-05-09,129.9387664794922,130.5279816186444,126.00439632863859,128.3992347468239,331900,MPWR
2019-05-10,129.38758850097656,130.15736896219147,126.22299833100809,128.67484009314694,344100,MPWR
2019-05-13,120.2358627319336,127.14476521083083,119.43758825313421,124.8734749312881,493000,MPWR
2019-05-14,121.95597076416016,123.94215894030113,120.6920288790979,122.0034902111428,305300,MPWR
2019-05-15,122.75425720214844,123.65706877897647,119.65618326979207,120.73005472175544,182200,MPWR
2019-05-16,122.3551025390625,123.99917092457846,120.28338090119864,122.73522909610595,382600,MPWR
2019-05-17,118.50626373291016,122.43113510290648,117.79351553744249,120.6635189981107,303700,MPWR
2019-05-20,115.22763061523438,117.58445462131507,114.34382251926036,115.75031555119479,360100,MPWR
2019-05-21,116.87169647216797,118.202153922701,116.14944296298623,116.4820573256195,358600,MPWR
2019-05-22,115.28462982177734,117.57493058549808,115.28462982177734,115.87383754221828,175400,MPWR
2019-05-23,112.86128997802734,113.60254685601014,111.2077091343517,113.39347291597423,306900,MPWR
2019-05-24,113.41248321533203,114.91400773890695,113.1368936417998,113.783118927234,161500,MPWR
2019-05-28,110.96063995361328,114.08722954213479,110.90361516825958,113.50752710244376,294600,MPWR
2019-05-29,111.67340850830078,112.31963394005278,109.13601898556153,110.27642064477433,279700,MPWR
2019-05-30,112.5381851196289,113.97318683019897,110.48547411518749,110.48547411518749,298500,MPWR
2019-05-31,110.66602325439453,113.13688923510482,110.4474512217687,110.73254612307834,210700,MPWR
2019-06-03,113.2414321899414,114.43884388950929,111.29325096771623,111.42629671211266,483800,MPWR
2019-06-04,118.91493225097656,118.95294636641107,114.1917926028447,117.81255190518047,419600,MPWR
2019-06-05,119.48511505126953,120.39743190480283,117.22332272125483,120.10282437625521,275000,MPWR
2019-06-06,117.4989242553711,119.3140599455162,116.31101050541753,119.20952295548427,205100,MPWR
2019-06-07,118.87690734863281,119.00996036580591,116.99525593329854,118.18316974364359,229600,MPWR
2019-06-10,124.09423065185547,125.43420091692059,119.69419323578684,119.96979011123534,412000,MPWR
2019-06-11,124.65492248535156,126.6886303587918,123.27694535864364,125.87134507315314,272300,MPWR
2019-06-12,121.2147216796875,123.8186193333007,121.10067934977995,123.8186193333007,203600,MPWR
2019-06-13,123.49549865722656,123.62854440437827,121.89894969140606,121.92745845858865,208500,MPWR
2019-06-14,120.13133239746094,121.8609270928087,119.57063339693556,119.57063339693556,358500,MPWR
2019-06-17,119.82722473144531,121.2337177126913,119.78921787424513,120.45444663199342,200900,MPWR
2019-06-18,123.98968505859375,125.51022043845585,120.17885576984068,121.06266387794426,368100,MPWR
2019-06-19,121.96549224853516,124.91152451577405,121.55685682807862,124.91152451577405,283700,MPWR
2019-06-20,123.84711456298828,125.30111950046037,122.96329939460307,124.78793275729554,186800,MPWR
2019-06-21,122.43111419677734,123.97064539581203,122.108005216888,123.43846248754802,410800,MPWR
2019-06-24,121.16718292236328,123.21038844187142,120.91059678401935,123.02983776180018,256700,MPWR
2019-06-25,118.07862854003906,122.2410830234288,118.0121056590486,121.17670967713114,352300,MPWR
2019-06-26,122.3646011352539,123.58102352391717,119.81772129052105,120.45444125170427,535600,MPWR
2019-06-27,126.61632537841797,127.18829218937084,123.26073147901855,123.35605200779895,459000,MPWR
2019-06-28,129.4380645751953,131.16352180730956,126.41612886018514,127.35989374533777,757400,MPWR
2019-07-01,132.24070739746094,137.23596422477402,130.87749186121903,133.1654020808044,506100,MPWR
2019-07-02,130.06719970703125,132.08817466562942,129.21877016817768,132.08817466562942,317900,MPWR
2019-07-03,129.89556884765625,131.03953093880867,127.98898475717856,130.28642207726392,635800,MPWR
2019-07-05,130.7154541015625,130.86798438230431,128.67540887142744,128.98046943291104,202300,MPWR
2019-07-08,129.65731811523438,130.57248538910986,128.87562576633835,129.42853720633326,206900,MPWR
2019-07-09,132.25979614257812,132.36465889106182,129.06626070373747,129.19019337360584,216600,MPWR
2019-07-10,134.21405029296875,135.57726618899983,133.2607577530636,133.58488827165957,276300,MPWR
2019-07-11,134.099609375,135.34841980491586,133.08912199036837,134.75738330735797,321900,MPWR
2019-07-12,136.62586975097656,136.82605300330798,134.05196870944653,135.06245629649476,241000,MPWR
2019-07-15,137.0929412841797,137.66492239061077,135.6916006648989,137.00714848204015,181700,MPWR
2019-07-16,136.43521118164062,137.95095723652713,135.0052725025281,136.99766478378544,242300,MPWR
2019-07-17,136.092041015625,138.0176960652007,135.52007420565417,136.97861066291046,216200,MPWR
2019-07-18,139.11398315429688,139.6573669223984,136.2350499544062,136.2350499544062,205500,MPWR
2019-07-19,138.1797637939453,139.93381874188876,138.11304087382013,139.65737027949953,272900,MPWR
2019-07-22,138.5229034423828,140.52482311476055,136.34939813607423,138.95188207329625,244100,MPWR
2019-07-23,139.83853149414062,140.0673124702766,138.36092465685238,139.75273862808962,254900,MPWR
2019-07-24,146.14926147460938,146.6068377723586,140.2102536534018,140.21978134119865,377900,MPWR
2019-07-25,142.91761779785156,145.70123030703445,136.43522552834142,144.96720551442147,211300,MPWR
2019-07-26,143.92808532714844,145.74887733823934,143.04153035972732,144.28081341346783,174900,MPWR
2019-07-29,143.5372314453125,144.0615305838618,142.69832954989533,143.92807024105332,159300,MPWR
2019-07-30,143.8613739013672,144.7098036400138,141.55440780916055,142.23123733475293,193100,MPWR
2019-07-31,141.23977661132812,145.24360096388983,139.91470102796382,144.04245802194671,517900,MPWR
2019-08-01,142.75555419921875,153.9567412565865,140.82989924496198,149.6573972481805,584800,MPWR
2019-08-02,139.76222229003906,144.0997063313237,139.24745070980967,142.00246561624576,274900,MPWR
2019-08-05,135.5963134765625,135.72977382802605,132.50764092629342,134.87180195768542,478200,MPWR
2019-08-06,138.4656982421875,140.02909693825933,137.15969252453,137.79839658156268,234000,MPWR
2019-08-07,139.4571533203125,140.08632986090285,136.08250427311827,136.08250427311827,227100,MPWR
2019-08-08,145.3199005126953,145.52008377740103,139.2474323818197,140.6297034975871,329700,MPWR
2019-08-09,142.2216339111328,144.20448299022527,140.9251562265755,143.9280201681057,178400,MPWR
2019-08-12,138.58966064453125,141.85944675667872,138.58966064453125,140.7440963388578,215500,MPWR
2019-08-13,144.0997314453125,145.1578869492865,137.74127073083534,137.74127073083534,264800,MPWR
2019-08-14,137.2645721435547,142.031033943227,137.10251418789628,140.2197697316993,316900,MPWR
2019-08-15,138.36083984375,139.24740922110715,137.26455954884935,138.2559771119354,215600,MPWR
2019-08-16,144.29986572265625,144.87184698025655,138.980492392889,138.980492392889,287800,MPWR
2019-08-19,146.33990478515625,148.71360799552227,146.01578887417563,146.80702327763095,272000,MPWR
2019-08-20,145.3485107421875,146.97863279496886,144.17596502312324,145.63450140554423,212500,MPWR
2019-08-21,147.20738220214844,147.69355599556252,144.8527492656941,146.23502006923542,214200,MPWR
