Price,Close,High,Low,Open,Volume,Ticker
Ticker,MSI,MSI,MSI,MSI,MSI,
Date,,,,,,
2019-01-02,104.94371032714844,105.94944235760818,103.89226035074904,104.13912609789648,1078600,MSI
2019-01-03,101.26818084716797,104.59624250629574,101.13103403101522,103.89222543864746,935400,MSI
2019-01-04,105.65682220458984,106.7631276808514,102.4567626205754,102.8224851110066,920500,MSI
2019-01-07,106.15055084228516,106.79970497583228,104.83395958893429,105.6019705720909,1220600,MSI
2019-01-08,109.26832580566406,109.26832580566406,106.30597981360535,106.88199502207169,1430000,MSI
2019-01-09,106.20542907714844,109.78034981796006,106.16885612378131,109.12205060850687,1473100,MSI
2019-01-10,107.48546600341797,107.57690189030804,105.10827943143124,105.41914610058409,1041900,MSI
2019-01-11,106.05912017822266,107.66829498926056,105.98597428327173,106.88199405747933,1122100,MSI
2019-01-14,105.25453186035156,106.39741026277017,105.07166713061888,105.62939234904525,1187500,MSI
2019-01-15,105.84883880615234,106.19627835657735,104.63282130639651,105.1996846140125,1189700,MSI
2019-01-16,104.7333984375,106.88200882563271,104.68768050294459,105.81227612257965,1250600,MSI
2019-01-17,104.00196075439453,105.88542260268478,103.54480927855104,104.80654484067102,1137100,MSI
2019-01-18,105.69340515136719,106.22370246388766,104.32195091417235,104.4499527515977,1239800,MSI
2019-01-22,104.66024017333984,105.93112047743728,104.15737085492289,105.35511223817691,1167600,MSI
2019-01-23,104.65110778808594,105.6934125230039,104.14824538472163,105.34597993655706,742800,MSI
2019-01-24,104.95281219482422,105.30024472426442,103.98365352414932,104.93452223373055,711800,MSI
2019-01-25,106.22369384765625,106.79970206934803,105.60196769820222,105.91282728514102,744200,MSI
2019-01-28,105.35511016845703,105.39167614037208,103.95622108531765,105.0076706550757,595500,MSI
2019-01-29,105.80313873291016,106.16886130886508,104.72426097041102,105.3002693190249,855700,MSI
2019-01-30,106.79972076416016,107.13801535231912,105.63855913685273,105.66598710808067,930400,MSI
2019-01-31,106.8911361694336,107.58600122608871,106.47055077254196,106.64427052449388,981000,MSI
2019-02-01,108.22603607177734,108.97576416581893,106.84543674870385,107.34830613062456,1184000,MSI
2019-02-04,109.7620620727539,109.9449198560882,107.76888154186993,108.11631412043602,1599800,MSI
2019-02-05,109.14947509765625,110.02720502373414,108.67404067020559,109.7894912977975,942900,MSI
2019-02-06,110.10948181152344,110.32891252105237,109.03974925504629,109.14032311682548,907500,MSI
2019-02-07,108.4546127319336,109.54262844177525,107.69573964923654,109.52434545299182,1031400,MSI
2019-02-08,123.76920318603516,125.05837387410082,117.76223921907288,118.80454416979116,4429300,MSI
2019-02-11,122.68113708496094,124.83889214684051,122.55313525718641,123.7783115529172,1903100,MSI
2019-02-12,125.46063232421875,126.46637099263343,122.78171784443438,122.78171784443438,1823400,MSI
2019-02-13,125.84465789794922,126.10066160870707,124.68348924126873,125.67093810468727,1178000,MSI
2019-02-14,125.43318939208984,126.15548238512554,124.79318029361164,125.84462281602927,956300,MSI
2019-02-15,126.74980926513672,127.01495095460413,125.7532085502141,126.4846536245149,1077200,MSI
2019-02-19,127.00582122802734,127.53611859268686,126.11894628468448,126.1372362493018,773900,MSI
2019-02-20,127.28009796142578,127.9201071263423,126.65836480754012,127.24351803705714,1067800,MSI
2019-02-21,126.5303726196289,127.68238920429377,126.27436893414782,127.4355374761792,981300,MSI
2019-02-22,127.98412322998047,128.05726914023077,126.71324268558733,126.98753636123708,942700,MSI
2019-02-25,129.10873413085938,129.34644789095134,128.0481392913904,128.50529079621427,742400,MSI
2019-02-26,129.50186157226562,129.99557899737198,129.07213809524941,129.07213809524941,1130100,MSI
2019-02-27,130.7361602783203,130.7635882457841,129.2641322361004,129.2641322361004,757100,MSI
2019-02-28,130.8550262451172,131.94304892548737,130.4893106665253,130.91903414450604,1444100,MSI
2019-03-01,131.3030242919922,132.18076110931446,130.77272699940318,131.42188811911745,678400,MSI
2019-03-04,129.83099365234375,132.51904603479508,128.95325685252476,132.42761017711388,1087700,MSI
2019-03-05,129.46527099609375,130.22412997822497,128.96240170883928,129.81269654361762,808900,MSI
2019-03-06,128.25839233398438,129.62984649833507,127.856096880257,129.48355470586088,690700,MSI
2019-03-07,127.53612518310547,128.58756800887141,126.8046800233241,128.4778561178088,886800,MSI
2019-03-08,126.9509506225586,127.03323452709978,124.31775406801124,126.09150374982974,708000,MSI
2019-03-11,129.3281707763672,129.8127503035428,126.39326563639092,126.39326563639092,1013700,MSI
2019-03-12,128.1852569580078,130.06871859944204,128.03896515352736,129.62071913105785,919800,MSI
2019-03-13,128.9258575439453,129.69388264619107,127.93840865633467,128.78871767809227,809500,MSI
2019-03-14,128.6045379638672,129.43993380632784,128.12718091769906,129.43993380632784,1305800,MSI
2019-03-15,129.10948181152344,130.0091315634374,128.37506784744252,128.51277834508466,1092700,MSI
2019-03-18,128.9809112548828,129.57761449387687,127.89766192679488,129.0359898298329,721400,MSI
2019-03-19,128.94418334960938,129.64186857209253,128.49435168840512,129.64186857209253,662500,MSI
2019-03-20,127.3285140991211,129.25634872524233,127.15408923198508,128.84324530758184,811600,MSI
2019-03-21,129.10948181152344,129.66947088325975,127.4387037008261,127.56722509395667,708200,MSI
2019-03-22,127.2734146118164,129.23796330473925,126.86031126199082,128.53108885686538,722800,MSI
2019-03-25,127.2734146118164,127.57636080376234,125.96066178782759,127.27341461181639,732800,MSI
2019-03-26,128.88916015625,128.97179206226647,127.60394615777372,128.402613856271,1088600,MSI
2019-03-27,127.94353485107422,129.85300457974915,127.33765659721826,128.8890876194784,922200,MSI
2019-03-28,127.7783432006836,128.9809390387325,127.30097210199203,128.03538594433775,858600,MSI
2019-03-29,128.907470703125,129.0818955319847,127.92520341480753,128.38421022432206,897600,MSI
2019-04-01,129.73370361328125,130.78023867746833,128.69634364335124,129.9081144508312,701100,MSI
2019-04-02,130.05502319335938,130.67927990857967,129.21962721036132,130.26616246113713,662700,MSI
2019-04-03,130.62416076660156,131.8359455516715,130.02745747587227,130.7526821218868,957400,MSI
