Price,Close,High,Low,Open,Volume,Ticker
Ticker,PG,PG,PG,PG,PG,
Date,,,,,,
2019-01-02,76.45462799072266,76.54676269553916,75.32389143827672,76.24523209618617,9843900,PG
2019-01-03,75.9186019897461,77.47650850992301,75.70082839277033,76.16987970858412,9820200,PG
2019-01-04,77.4681167602539,77.4681167602539,75.69244335704602,76.08610233908745,10565700,PG
2019-01-07,77.15821838378906,77.47649791255895,76.55515705327181,76.98232656076436,9012500,PG
2019-01-08,77.4429931640625,77.97066862883567,76.9069400724735,77.64401147584415,9551300,PG
2019-01-09,76.17823028564453,77.8617752086371,76.06096908605859,77.63563043522309,15015600,PG
2019-01-10,76.36251068115234,76.67241897615493,75.89346581542479,76.12798824828857,11102300,PG
2019-01-11,76.86505889892578,77.04095711207877,76.31225693986069,76.78130180091676,7166600,PG
2019-01-14,76.34575653076172,76.98232194035238,76.09447886137535,76.63890955154145,7952000,PG
2019-01-15,77.06607055664062,77.56861944987976,76.33737050777756,76.34574813323738,7834500,PG
2019-01-16,76.53002166748047,77.18333590285113,76.21173578544926,76.83992353334509,7964500,PG
2019-01-17,76.51905822753906,77.29572850482059,76.27423698867428,76.57815256514093,8044500,PG
2019-01-18,77.17752838134766,77.53209435436362,76.85673151635207,77.13532182692124,9100300,PG
2019-01-22,76.35020446777344,77.45611533410403,75.20208060804764,77.15219981589435,13518500,PG
2019-01-23,80.06470489501953,81.39011799023675,79.04321371658891,79.5075308162381,22869000,PG
2019-01-24,79.60884857177734,79.82833810151614,78.67177680460512,79.60040468500326,12146400,PG
2019-01-25,79.01789855957031,80.10692808036754,78.56202528755298,79.71014913393772,10618000,PG
2019-01-28,78.95037078857422,79.33026845256337,78.48606000920873,78.781531676223,9765600,PG
2019-01-29,78.96724700927734,79.45688938056715,78.5957932874991,79.17829908923346,9769800,PG
2019-01-30,79.79457092285156,79.91276601814879,78.99257556149684,79.02634466861052,7750200,PG
2019-01-31,81.44078063964844,81.72780838736337,79.42312319631588,79.71859483096318,16044400,PG
2019-02-01,82.28497314453125,82.40316177563004,81.0355421918903,81.33945765494357,12720800,PG
2019-02-04,82.75774383544922,82.91814548361623,81.65183295378897,82.06549324344228,11887500,PG
2019-02-05,82.25965118408203,82.74928705766531,82.06548045913873,82.72396184154175,9772300,PG
2019-02-06,82.66487121582031,83.00255580774464,81.98950847276953,82.09925322780585,8693900,PG
2019-02-07,82.00638580322266,82.39472081071098,81.33101665232273,82.32718260746147,8732500,PG
2019-02-08,82.48758697509766,82.49603086098423,81.63493484289039,81.89664377899228,7483200,PG
2019-02-11,82.96035766601562,83.06166499396343,82.25122569277802,82.30187613635242,8494100,PG
2019-02-12,83.79610443115234,83.86363618948337,82.71551900828987,83.05319712233651,11238800,PG
2019-02-13,83.77925109863281,84.16758624205028,83.585086747324,83.82146410063899,11587200,PG
2019-02-14,83.1207504272461,83.42466593775728,82.5973389500772,83.3233586206541,7930100,PG
2019-02-15,83.13762664794922,83.74545114371185,82.94345592734908,83.53439909300612,12069100,PG
2019-02-19,84.41240692138672,84.42085080989165,83.12921282302827,83.20518849717328,10098200,PG
2019-02-20,83.81300354003906,84.60656144614227,83.52597579405193,84.23510771293677,8947400,PG
2019-02-21,84.235107421875,84.30264563509691,83.23049743279422,83.66104549108577,7444800,PG
2019-02-22,84.63188934326172,84.75852188729668,83.91431351479531,84.15913471571656,7925400,PG
2019-02-25,84.05783081054688,84.80073188987066,83.85522259633112,84.72475622483938,7436100,PG
2019-02-26,84.27730560302734,84.57277718294392,84.10846009964831,84.28574304759826,7115300,PG
2019-02-27,83.50064086914062,84.10846539719665,83.424658777635,83.8636442324751,6013600,PG
2019-02-28,83.19670867919922,83.74543877736743,82.79992985193556,83.50062410260131,10575400,PG
2019-03-01,83.10385131835938,83.39087899422384,82.5888838379701,83.24736515629161,7733200,PG
2019-03-04,83.46688079833984,83.47531824435521,82.63110990532768,83.21361572031219,6895300,PG
2019-03-05,83.65260314941406,84.15068943012787,83.50065182805578,83.50065182805578,6274600,PG
2019-03-06,83.51753234863281,83.66104622238497,83.07010295352396,83.4584380217467,4622300,PG
2019-03-07,83.19670867919922,84.08312329679158,82.94344367943198,83.55127452623617,8408600,PG
2019-03-08,83.07854461669922,83.72858219504687,82.52136402885975,83.42466668182506,5144500,PG
2019-03-11,84.06627655029297,84.15069610467633,83.16297379271288,83.39935112130593,7544400,PG
2019-03-12,84.46305847167969,84.85983103512955,84.19291202379927,84.23511858205596,7597500,PG
2019-03-13,85.4169921875,85.76311422562692,84.38705707756495,84.41238229489157,9883300,PG
2019-03-14,85.53520202636719,85.9235371501416,85.02867823191359,85.21440512606645,8590200,PG
2019-03-15,86.48069763183594,86.86058877873865,85.88131053031493,85.90663574800205,30802700,PG
