Price,Close,High,Low,Open,Volume,Ticker
Ticker,PKG,PKG,PKG,PKG,PKG,
Date,,,,,,
2019-01-02,68.81265258789062,69.24400232834465,66.6314825905033,66.6314825905033,974500,PKG
2019-01-03,67.46162414550781,69.17074839222592,67.1686307078613,68.34874488986249,846700,PKG
2019-01-04,70.13111877441406,70.69269059988889,68.64987684010572,68.65801727202962,799900,PKG
2019-01-07,70.82291412353516,71.53912318637114,69.51259007126573,70.01718513717557,1179200,PKG
2019-01-08,72.64599609375,72.7517968974469,70.95314597860913,71.4414664554643,1152400,PKG
2019-01-09,70.98568725585938,71.92163827073307,69.60210560494552,71.92163827073307,1296100,PKG
2019-01-10,73.9563217163086,74.2004788341596,70.70084380364437,70.70084380364437,1147300,PKG
2019-01-11,74.15980529785156,74.42024333942555,73.43546180068228,73.63078877952958,599900,PKG
2019-01-14,72.57273864746094,73.90748407227807,72.4018268050634,73.70401670618604,893600,PKG
2019-01-15,73.0366439819336,73.46799380448573,72.45065697419062,72.45065697419062,441500,PKG
2019-01-16,72.63786315917969,73.76914142760128,72.40184022564343,72.92271628264334,982800,PKG
2019-01-17,73.4354476928711,73.85865710062556,72.0518658177288,72.08442134283783,690800,PKG
2019-01-18,74.79462432861328,75.38061148774808,73.87494762245285,73.88308805781107,1032600,PKG
2019-01-22,75.1038818359375,75.48640152177816,74.1435155089044,74.61556134289211,1206000,PKG
2019-01-23,74.72948455810547,75.95028860090353,73.94003028360318,75.7630959155691,745900,PKG
2019-01-24,75.13642883300781,75.29920024243255,74.22489279596803,74.71321944290474,692600,PKG
2019-01-25,76.71534729003906,77.48038046232877,76.02355939845849,76.1293602070379,766100,PKG
2019-01-28,76.03169250488281,76.4711828106681,75.19340785488443,76.09680355966552,552900,PKG
2019-01-29,76.4386215209961,76.69905951116196,75.57592184282129,76.30026519701173,1099200,PKG
2019-01-30,75.624755859375,76.90253078361144,73.10176153748968,74.38767689570598,1589800,PKG
2019-01-31,76.7641830444336,77.36644483038239,74.75392407030816,75.47826754229139,1543300,PKG
2019-02-01,77.46408081054688,77.66754813709177,76.24327685127749,77.2036428809426,998000,PKG
2019-02-04,76.45490264892578,77.67570689624225,76.14562826563345,77.46409908809457,1170700,PKG
2019-02-05,78.1314697265625,78.17216568411095,76.44676015895675,76.902525078709,1002700,PKG
2019-02-06,78.16401672363281,78.83952980552321,77.85474859172993,77.85474859172993,838300,PKG
2019-02-07,77.18739318847656,77.90360244111537,76.17005614491694,77.51294228428216,633600,PKG
2019-02-08,77.43966674804688,77.46408183406206,75.95028440782015,76.76415372475321,690900,PKG
2019-02-11,76.4386215209961,77.91172953007847,76.00727168190869,77.63501067277828,874400,PKG
2019-02-12,79.10810089111328,79.31156823518438,76.95135201142402,77.07342745040224,886800,PKG
2019-02-13,79.5475845336914,80.32889832531635,79.43364332716256,79.43364332716256,737000,PKG
2019-02-14,79.23833465576172,79.91384782792386,79.07556324023587,79.17322360581879,656700,PKG
2019-02-15,80.1417236328125,80.41030203450696,79.62084769522198,79.90570075338384,574500,PKG
2019-02-19,80.11731719970703,80.45100047265481,79.31158190756815,79.87315386099858,862000,PKG
2019-02-20,81.97293090820312,82.15198317831678,79.71037486076187,79.97081283292782,893700,PKG
2019-02-21,79.9626693725586,81.68807475366653,79.68595675419087,81.54971223515186,1026900,PKG
2019-02-22,79.99523162841797,80.9800129503324,79.60457154740605,80.55680355445655,523800,PKG
2019-02-25,80.9881591796875,81.71250256920924,80.19056430315128,80.61377993864618,776500,PKG
2019-02-26,81.05326843261719,82.0299156535043,80.74400022780226,80.9474676226539,685000,PKG
