Price,Close,High,Low,Open,Volume,Ticker
Ticker,PNW,PNW,PNW,PNW,PNW,
Date,,,,,,
2019-01-02,62.51430130004883,64.30214471654509,62.16729369281599,64.15881911584651,1408400,PNW
2019-01-03,63.14796447753906,63.4949720771529,62.544475252045075,62.627450200440954,1672000,PNW
2019-01-04,63.924957275390625,63.924957275390625,62.62744715834026,62.695343074181196,1315200,PNW
2019-01-07,63.80424499511719,64.15879775445202,63.08759420881086,63.60056305639795,1050300,PNW
2019-01-08,64.76229858398438,64.76229858398438,63.427073736828774,63.66847054697825,1087800,PNW
2019-01-09,63.8646125793457,64.76984925405405,63.46479386340586,64.40021161667282,1272400,PNW
2019-01-10,64.92826080322266,65.10176746056611,63.58549066982674,64.06828429632068,1073800,PNW
2019-01-11,63.947593688964844,64.8528362062994,63.67602726465495,64.8528362062994,1641600,PNW
2019-01-14,62.21255111694336,63.54777610789369,61.578880824962766,63.54777610789369,2052600,PNW
2019-01-15,63.525169372558594,63.85709230235976,62.17485334628902,62.17485334628902,1512800,PNW
2019-01-16,63.947593688964844,64.00794434119148,63.0272721416061,63.23094839867726,959200,PNW
2019-01-17,64.5359878540039,64.67177391004311,64.00038314298277,64.06073378018988,1111900,PNW
2019-01-18,64.62651062011719,64.98860870238148,64.15880755157828,64.5208998784888,1474000,PNW
2019-01-22,64.67178344726562,65.03387581319936,63.970223013495335,64.46055618589082,1782100,PNW
2019-01-23,65.7731704711914,65.79580052933308,64.67179685057089,64.72460223801997,1154400,PNW
2019-01-24,66.3691177368164,66.4445531795217,65.07160740300579,65.84105812716852,1082900,PNW
2019-01-25,65.58457946777344,66.47473154522427,65.380897432271,66.13526340450541,1414600,PNW
2019-01-28,65.44877624511719,66.02209009021507,65.17720410571118,65.55438699318017,1207500,PNW
2019-01-29,65.9013900756836,66.10506628870478,65.4940318942875,65.73542869563107,1063100,PNW
2019-01-30,66.0975341796875,66.51243192094267,65.38088320875778,65.6298253067235,912000,PNW
2019-01-31,67.03937530517578,67.26760391483077,65.31241589048416,66.06558016955748,1601500,PNW
2019-02-01,66.68181610107422,67.10023815437712,65.95907760206293,66.91004472899142,1008800,PNW
2019-02-04,66.59052276611328,66.61334504902867,65.84496777107746,66.43076098146275,896800,PNW
2019-02-05,66.62095642089844,66.74268300577592,65.99712218400894,66.60574349991028,856200,PNW
2019-02-06,66.71224975585938,67.00134168162936,66.03516160542327,66.59052317390808,1192200,PNW
2019-02-07,67.84579467773438,67.86100759694367,66.54487242625157,66.93286861487562,900900,PNW
2019-02-08,67.99794006347656,68.08923498202978,67.54908644013386,67.63277199774721,659000,PNW
2019-02-11,68.18815612792969,68.4163905980734,67.81537857732238,67.86863251312343,652100,PNW
2019-02-12,68.29464721679688,68.75111604491161,67.70124470533842,68.38594214326828,822700,PNW
2019-02-13,68.09686279296875,68.23380230577976,67.7316888240583,68.03599949744313,734200,PNW
2019-02-14,68.11966705322266,68.4544092857973,67.67841698378186,68.09684477450017,636600,PNW
2019-02-15,68.439208984375,68.65983407847709,68.08925373987479,68.37074212977953,882900,PNW
2019-02-19,68.96414184570312,69.0706497067457,68.14250479973781,68.5989678905264,725100,PNW
2019-02-20,69.17713165283203,69.29124883383967,68.34028199917755,68.90325274011006,1010600,PNW
2019-02-21,69.96834564208984,70.15092967234654,68.5000524307217,68.85000757381441,1547300,PNW
2019-02-22,70.9193115234375,71.12471782883514,69.59556716670195,70.59978802426713,1181900,PNW
2019-02-25,71.26927185058594,71.42142425053392,70.18136535865607,70.92692604858198,1540500,PNW
2019-02-26,70.81281280517578,71.52793608999951,70.6834826775658,71.52793608999951,1406300,PNW
2019-02-27,70.72151947021484,70.94214453041101,70.39438656085397,70.55414833460104,833200,PNW
2019-02-28,71.31492614746094,71.45947501011844,70.41721293500825,70.74434586338278,1009300,PNW
2019-03-01,70.5845718383789,71.44424969867217,70.23461668801525,71.1551520234974,1383200,PNW
2019-03-04,70.75196838378906,71.26168547267525,69.99880389392412,70.91173019653351,897700,PNW
2019-03-05,70.10528564453125,70.85084049284292,69.91509225200905,70.54653570820076,1043800,PNW
2019-03-06,70.57697296142578,70.6986995383693,69.97596685155577,70.30309977178817,920300,PNW
2019-03-07,70.56175994873047,71.26927971461791,70.46286145827578,70.84324830436057,1239200,PNW
2019-03-08,70.87366485595703,70.94213168763577,70.27265307061984,70.87366485595703,781200,PNW
2019-03-11,71.60400390625,71.64203909870355,70.69107222374707,70.9801698684482,969400,PNW
2019-03-12,72.22782897949219,72.25826061222271,71.66485248033815,71.82462000323352,983000,PNW
2019-03-13,72.56258392333984,72.74517376650694,72.12894320324139,72.25827912654523,938500,PNW
2019-03-14,72.38762664794922,72.91255661158503,72.12135698462043,72.65389631127802,975500,PNW
2019-03-15,73.14839935302734,73.36141508055029,72.25068606972114,72.41805722827297,2418800,PNW
2019-03-18,72.48651885986328,73.12557180063857,72.18220821207709,73.03427686502987,846700,PNW
2019-03-19,71.76378631591797,72.43326509920037,71.52033895797501,72.42565573682135,965500,PNW
2019-03-20,72.06810760498047,72.69954547383995,71.77140047081959,72.00724430544778,656000,PNW
2019-03-21,72.90494537353516,73.07992007490209,71.88550559300093,72.10613066344672,562900,PNW
2019-03-22,73.58201599121094,74.00043794584968,72.76037919426896,73.22445150712093,832100,PNW
2019-03-25,73.39183807373047,73.8102601165273,73.26250794073377,73.73418390913174,928300,PNW
2019-03-26,73.6733169555664,73.82547516702876,73.24728557195638,73.31575821817502,620300,PNW
2019-03-27,73.37663269042969,73.98525406873368,72.96581993495465,73.87113683477124,748400,PNW
2019-03-28,72.3343734741211,73.6352959608122,71.81704706383661,73.4527118760775,1722000,PNW
2019-03-29,72.71473693847656,72.76799085454064,72.07568414146593,72.31913144407913,1288800,PNW
2019-04-01,72.18219757080078,72.58541245711419,71.44425204933076,72.58541245711419,1066600,PNW
2019-04-02,71.91592407226562,72.4332503279267,71.80941623765085,72.34195541072474,1107300,PNW
2019-04-03,71.60400390625,71.99960357236577,71.19318551975987,71.83984183388203,854400,PNW
2019-04-04,71.2540512084961,71.96917437582414,70.85844572472695,71.96917437582414,694700,PNW
2019-04-05,71.99961853027344,72.05287245416486,71.01821981492401,71.31492107721077,586400,PNW
2019-04-08,71.42903137207031,72.03765256126228,71.22362505815708,71.95396700264234,669900,PNW
2019-04-09,71.7257308959961,71.78659417431292,71.3529534737284,71.61161370021244,697800,PNW
2019-04-10,71.60400390625,72.53975206083211,71.48988672040699,71.9919942121786,711900,PNW
2019-04-11,72.47129821777344,72.51694277859308,71.30731548293491,71.66487421642577,846200,PNW
2019-04-12,72.50933074951172,72.70713351285693,71.74095358418512,72.21262950661492,842500,PNW
2019-04-15,72.89733123779297,73.28532742622109,72.71474718616189,72.95058516136214,751700,PNW
2019-04-16,71.68009185791016,73.01905506275669,71.58118757197039,72.78321129218216,880600,PNW
2019-04-17,71.78660583496094,72.17460204195278,71.30732049990698,71.66487925855462,686000,PNW
2019-04-18,71.56597900390625,72.12134633764256,71.43664887284521,71.8778989950749,914800,PNW
2019-04-22,71.19319152832031,71.67247678422225,70.8964903026322,71.58879122782389,802400,PNW
2019-04-23,71.89309692382812,71.98439183484555,71.14753632778893,71.40620234021769,916300,PNW
2019-04-24,72.121337890625,72.88211147257572,71.55075770416195,72.22784572775875,1046700,PNW
2019-04-25,72.3800048828125,72.80603627113925,71.74856135779795,71.8246433664926,673200,PNW
2019-04-26,72.34196472167969,73.27010951784625,72.2506755969698,73.23967787486215,946700,PNW
2019-04-29,71.7942123413086,72.2582847379738,71.34535286396775,72.24306601440703,772400,PNW
2019-04-30,73.05018615722656,73.05785549636114,71.50131310156961,71.623999127756,1063000,PNW
2019-05-01,72.13772583007812,73.52557771245179,71.96903548747095,72.5057721685019,1486500,PNW
2019-05-02,71.3633041381836,72.2220888905422,70.9415781772056,71.89237746195735,1492200,PNW
2019-05-03,72.16839599609375,72.30641483294313,71.46296313553529,71.46296313553529,670900,PNW
2019-05-06,71.66999053955078,72.42909117723026,71.5779760365024,72.37541751294971,798800,PNW
2019-05-07,71.5779800415039,72.16072689343541,71.25593803780136,71.66999454970076,742200,PNW
2019-05-08,70.68086242675781,71.37095663183395,70.50450274379735,71.37095663183395,728400,PNW
2019-05-09,70.97990417480469,71.40163004753148,70.58118631785587,70.85722400727862,638700,PNW
2019-05-10,72.62844848632812,72.62844848632812,70.89554681176259,71.07956995640971,574200,PNW
2019-05-13,73.8476333618164,73.97798873699483,72.52112424081795,72.5441264099694,983700,PNW
2019-05-14,72.82783508300781,74.00865602539024,72.67447753530132,73.77095913893552,924000,PNW
2019-05-15,72.98884582519531,73.39523303180825,72.59779144619412,73.07319100203854,613400,PNW
2019-05-16,73.4719009399414,73.6865956032823,72.6514572764654,72.84314977587559,554800,PNW
2019-05-17,73.65592193603516,74.12365208884493,73.0195073026957,73.13451811896806,722400,PNW
2019-05-20,74.06232452392578,74.33069875114127,73.64060445971491,73.91664217628545,658400,PNW
2019-05-21,73.64059448242188,74.5377140147328,73.59459015255703,74.12365749597596,709800,PNW
2019-05-22,73.93962097167969,74.08530912325918,73.39521504997474,73.87060863935622,971000,PNW
2019-05-23,74.62205505371094,74.66039589313579,74.02397539862423,74.04697756228283,740400,PNW
2019-05-24,74.12364959716797,75.08211203382315,74.00863293477126,74.63738405921744,568200,PNW
2019-05-28,73.14986419677734,74.2923499372903,72.82015284012031,74.2923499372903,1101200,PNW
2019-05-29,72.00736999511719,73.54857340793619,71.9920313198706,73.40289109303707,924200,PNW
2019-05-30,71.30963134765625,72.35243932783644,71.17928181263187,72.06873223690756,866500,PNW
2019-05-31,72.00736999511719,72.130050147137,71.27126568303608,71.46295817368436,1268700,PNW
2019-06-03,73.14986419677734,73.14986419677734,71.99203977921547,72.31408179734805,816600,PNW
2019-06-04,73.02716827392578,73.24953226104074,71.57797353892695,73.24953226104074,730700,PNW
2019-06-05,74.982421875,75.08976918248116,73.07316664909715,73.464215047783,1375100,PNW
2019-06-06,75.7262191772461,75.97158538322779,74.85976519206716,75.02845555555302,882200,PNW
2019-06-07,74.89810180664062,76.53131997449428,74.89810180664062,76.11726342842051,782000,PNW
2019-06-10,74.58372497558594,74.87510135727813,74.16200493101864,74.49938564666576,550600,PNW
2019-06-11,73.9089584350586,74.79074508839024,73.34155028378052,74.4993745998941,979400,PNW
2019-06-12,73.98563385009766,74.26934084914639,72.98116704669408,73.17285954199954,1195800,PNW
2019-06-13,74.12364959716797,74.46103024686754,73.70959312253407,73.95495927231818,1428800,PNW
2019-06-14,74.7447509765625,74.95177632694757,74.1083303976145,74.1083303976145,710000,PNW
2019-06-17,74.39200592041016,75.16644508241619,73.99328818501479,74.83673382334348,485700,PNW
2019-06-18,74.24634552001953,74.86742738998224,73.77094598190523,74.86742738998224,901200,PNW
2019-06-19,75.09745025634766,75.33514706720908,74.15432065036543,74.15432065036543,727200,PNW
2019-06-20,75.5728530883789,75.86422944687143,74.67573354773756,75.39649925559871,974700,PNW
2019-06-21,74.85209655761719,75.31215743096016,74.27701900344063,75.24314508246344,2253200,PNW
2019-06-24,74.36135864257812,75.25080881814888,74.20033179140603,75.066785652512,2065200,PNW
2019-06-25,74.10064697265625,74.65272226872582,73.87828298673986,74.50703410726568,1320800,PNW
2019-06-26,72.4444351196289,74.23100484627882,72.4444351196289,73.98563867030173,1250800,PNW
2019-06-27,71.87702178955078,73.2418715224346,71.67766579148292,72.77414718082068,914400,PNW
2019-06-28,72.1453628540039,72.70510734460292,71.65463068278866,71.84632311998178,1304400,PNW
2019-07-01,72.0150375366211,72.33707953504087,71.24826753086494,72.14538703360182,661000,PNW
2019-07-02,72.83549499511719,72.9045073506932,72.1147350312744,72.14540068931709,644500,PNW
2019-07-03,73.32620239257812,73.80160182984207,72.98882761934918,72.98882761934918,344700,PNW
2019-07-05,73.06550598144531,73.31854145766688,72.0073656035963,72.61310868911067,810900,PNW
2019-07-08,73.11917877197266,73.51789654946678,72.49809701953347,73.18818525558139,808700,PNW
2019-07-09,73.24186706542969,73.33388157047088,72.67445890931933,72.9351637486073,809600,PNW
2019-07-10,73.19585418701172,73.95495475245174,73.11917836676355,73.65591495849083,453200,PNW
2019-07-11,72.62079620361328,73.4259071567542,72.1300638026485,73.10385926550283,1030000,PNW
2019-07-12,71.7006607055664,72.57477799328343,71.51663170289609,72.55943931806563,958700,PNW
2019-07-15,71.90000915527344,72.40608008464343,71.4322849099329,71.82333333718434,775300,PNW
2019-07-16,71.53963470458984,72.01502830321189,71.03356375768105,71.69298634608273,965200,PNW
2019-07-17,72.11471557617188,72.36008172426239,71.77733492880103,71.95368873993367,671500,PNW
2019-07-18,72.95817565917969,73.02718215968638,71.55498498229467,72.30642224887528,906600,PNW
2019-07-19,71.76200103759766,73.14218936885446,71.68532520808135,72.78947587308679,854400,PNW
2019-07-22,71.58563995361328,72.13771523011773,71.04123401427978,71.92302058925272,766400,PNW
2019-07-23,71.1869125366211,71.57796681169016,70.86487059244182,71.4859581704903,1082000,PNW
2019-07-24,70.38948822021484,71.54730670625118,69.99076454489847,71.50897171631092,1272000,PNW
2019-07-25,69.82206726074219,70.47382637476501,69.41568013787447,70.12110706247466,1225200,PNW
2019-07-26,70.55819702148438,70.61954004651764,69.63040570532951,69.96778649301959,708400,PNW
2019-07-29,71.40161895751953,71.43995394454609,70.37414419536731,70.85721300182313,884700,PNW
2019-07-30,70.48915100097656,71.85400036809168,70.10576608437167,71.73132023677269,1418000,PNW
2019-07-31,70.51081085205078,71.3920022602867,70.21707645108295,70.61129552234654,1092900,PNW
2019-08-01,71.09054565429688,71.63935745879047,70.07021840276875,70.37167832499291,881000,PNW
2019-08-02,71.49246978759766,72.01809312413339,71.04414868372818,71.1291705244628,1168100,PNW
2019-08-05,70.76589965820312,72.36595848740521,70.41032578741668,71.66254804835778,1289200,PNW
2019-08-06,71.90216064453125,72.13405559615236,69.93880854942918,70.69632104970209,1015100,PNW
2019-08-07,71.89443969726562,72.44325149375358,70.84319273862184,72.06449521959536,863100,PNW
2019-08-08,71.7166519165039,72.98433101672114,70.4644356257693,70.5030808548081,1546500,PNW
2019-08-09,71.45384216308594,71.83259842761795,70.61902738232108,70.61902738232108,1294500,PNW
2019-08-12,70.99003601074219,71.76301117234347,70.39484773113548,71.76301117234347,1059300,PNW
2019-08-13,71.8635025024414,71.9485302429327,70.3098207594025,70.72722805890545,1381800,PNW
2019-08-14,70.95912170410156,72.2499887997051,70.71949539547322,72.09539023005254,979300,PNW
2019-08-15,72.48961639404297,72.66740329242731,70.92047761491033,70.92047761491033,839200,PNW
2019-08-16,72.75244140625,73.1466545850999,72.07995073479935,72.53600335644941,1365000,PNW
2019-08-19,73.40174102783203,73.68001263509458,72.46644153016283,72.79108977285776,1188200,PNW
2019-08-20,73.2548828125,73.86553414244239,72.9920739830066,73.69547859520085,969400,PNW
2019-08-21,73.99690246582031,74.00462797006766,72.99976396608389,73.01522087191007,714500,PNW
2019-08-22,73.34762573242188,73.94282001582485,72.83746510112428,73.84232945254892,1224000,PNW
2019-08-23,72.76790618896484,73.74958828326263,72.35823015643683,73.54088161557151,1136200,PNW
2019-08-26,73.42493438720703,73.43266579275468,72.67514727711801,72.80655758208981,818000,PNW
2019-08-27,73.04617309570312,73.85779960014457,73.03071618299664,73.79596015465046,1186700,PNW
2019-08-28,73.23941040039062,73.39400310298836,72.68286723530505,73.06162348480301,726800,PNW
2019-08-29,73.64910888671875,73.71094834559754,73.1080283648678,73.61046364792105,690100,PNW
2019-08-30,73.67229461669922,74.04332545957881,73.42494268722456,73.92737795259548,1108100,PNW
