Price,Close,High,Low,Open,Volume,Ticker
Ticker,POOL,POOL,POOL,POOL,POOL,
Date,,,,,,
2019-01-02,135.54013061523438,137.49102241421036,134.70404223013853,136.23687566125233,260000,POOL
2019-01-03,134.11874389648438,136.55271572239252,131.74982257410898,136.55271572239252,215200,POOL
2019-01-04,138.68014526367188,139.2468318522721,134.78766032274928,135.4658357679255,162000,POOL
2019-01-07,139.48834228515625,140.67745260889183,138.04841396952477,139.0517142877347,139500,POOL
2019-01-08,139.19107055664062,140.33372836885437,138.4385882370044,140.2872758678852,163800,POOL
2019-01-09,142.55404663085938,143.87321567105064,139.11677359088884,139.50694915134127,150300,POOL
2019-01-10,141.9594268798828,142.69333933364302,140.10144076447241,141.83865324628223,134900,POOL
2019-01-11,141.03976440429688,142.4796926258981,140.78893225346764,141.9501738356056,164100,POOL
2019-01-14,140.27798461914062,142.24744582736236,140.26869978949685,140.62170759502132,160900,POOL
2019-01-15,138.96810913085938,141.25343896470167,137.6582251306731,140.25940929531805,195300,POOL
2019-01-16,137.76971435546875,139.46047485326832,137.44456101823525,139.0981680197889,244600,POOL
2019-01-17,140.08291625976562,141.82014365260554,137.12872388930214,137.12872388930214,250800,POOL
2019-01-18,141.81080627441406,143.4179747162363,139.59981209817863,140.30584182689,259500,POOL
2019-01-22,141.1140899658203,142.3032003684246,139.14462851937833,140.93759312936575,240900,POOL
2019-01-23,141.42063903808594,143.62236268851146,139.8413533418983,141.94087299209482,169100,POOL
2019-01-24,141.78289794921875,142.89770081732712,140.147875478131,141.53208006167094,131900,POOL
2019-01-25,139.91567993164062,143.02781312232543,139.53478928078067,142.86058695901338,148100,POOL
2019-01-28,140.8353729248047,141.69004495644748,139.04240870139006,139.04240870139006,118200,POOL
2019-01-29,140.43592834472656,141.23486322304,139.26540178244528,141.19770972476888,115900,POOL
2019-01-30,139.9063720703125,141.80151183222233,139.1260070621752,140.63098558298188,318200,POOL
2019-01-31,139.26535034179688,140.8910881654545,138.31777346977853,140.0085476105307,205300,POOL
2019-02-01,140.85394287109375,140.98400135062533,137.26802859222425,138.9495181726621,322000,POOL
2019-02-04,143.7802734375,143.92890156789488,140.18506031671777,140.97471016238083,161400,POOL
2019-02-05,145.8705596923828,146.60445830189667,140.47310986036743,143.84534654184807,191000,POOL
2019-02-06,144.67213439941406,148.6296552512966,143.89178336605923,145.90769728988286,119700,POOL
2019-02-07,145.39674377441406,145.46178011291653,143.48301974582054,143.6595307499689,127400,POOL
2019-02-08,145.50828552246094,146.06567322867122,144.26342321042208,144.74650389605927,165300,POOL
2019-02-11,144.34703063964844,146.1492804983858,142.04311629687209,146.07495930907197,364200,POOL
2019-02-12,147.38478088378906,147.54272221853807,143.65952286631423,145.44318829533353,165000,POOL
2019-02-13,146.62306213378906,148.49963318185,144.50495785194502,147.700698115869,208300,POOL
