Price,Close,High,Low,Open,Volume,Ticker
Ticker,PSA,PSA,PSA,PSA,PSA,
Date,,,,,,
2019-01-02,147.83485412597656,152.48832447081034,146.94811921980119,152.26095387740796,1222700,PSA
2019-01-03,150.66941833496094,152.07910246857426,147.84247528650494,147.88036075720328,1217000,PSA
2019-01-04,149.0020294189453,151.8441331471967,148.6458181598405,150.38896586152828,978500,PSA
2019-01-07,148.58517456054688,150.38895506670912,147.88791321701078,148.85043061741396,732700,PSA
2019-01-08,151.2529754638672,151.26812502383865,148.22139817443727,148.22139817443727,1135600,PSA
2019-01-09,150.19949340820312,152.07149333644102,148.82013173529347,152.03360787141943,713100,PSA
2019-01-10,152.276123046875,153.33718201730116,150.29044365964154,150.54055016914452,964500,PSA
2019-01-11,152.109375,153.0870650672466,151.6546453847294,152.3291708105804,829100,PSA
2019-01-14,152.29885864257812,153.93591312080127,151.39696256713438,152.20791502641552,741300,PSA
2019-01-15,154.61801147460938,154.76201324146678,152.4201226376098,152.5641244044672,484500,PSA
2019-01-16,154.84539794921875,155.23950626240307,152.80666022957064,154.14813651176985,556900,PSA
2019-01-17,155.32284545898438,155.61084896724833,153.7388492926291,154.58768713018827,483100,PSA
2019-01-18,153.95106506347656,155.36832363204994,153.41295504932512,155.36832363204994,669700,PSA
2019-01-22,152.7232666015625,154.23148032671725,151.51064273674004,154.13295037327316,919400,PSA
2019-01-23,152.96580505371094,153.0794845707338,150.38138276426713,152.44285614630775,918200,PSA
2019-01-24,153.57212829589844,155.08033057698592,152.53380522351898,153.26896363206342,630800,PSA
2019-01-25,155.8533477783203,155.8836584549929,153.73124191029268,153.73124191029268,884500,PSA
2019-01-28,157.79354858398438,158.013344348123,155.11818334840822,156.0882868667989,919200,PSA
2019-01-29,159.46095275878906,159.54432159262723,157.28579986394178,158.05126892769297,845200,PSA
2019-01-30,159.34727478027344,160.6508538867552,158.66517454377563,158.88495879989853,753800,PSA
2019-01-31,161.0677032470703,161.30264863466255,158.52117788316033,159.2108644860952,848300,PSA
2019-02-01,158.7788543701172,161.5375891338227,157.27822690817743,161.0752731525497,652900,PSA
2019-02-04,158.53631591796875,159.01379300291268,157.58894809199975,158.38473937872345,854700,PSA
2019-02-05,158.3847198486328,158.76366693229323,157.2099815763761,158.53629636918754,1139300,PSA
2019-02-06,158.0513153076172,158.78647390413525,157.45258373584542,158.78647390413525,868700,PSA
2019-02-07,159.03651428222656,159.14261900639687,157.27820577246925,158.0512495209038,1286300,PSA
2019-02-08,159.58981323242188,161.05254372562845,158.58938717453063,158.9531732116958,1148300,PSA
2019-02-11,159.54434204101562,160.0218192018812,158.77129809858152,159.18813075664775,748400,PSA
2019-02-12,157.44496154785156,159.40033017374273,157.17969392460918,159.33211089963396,1013900,PSA
2019-02-13,157.6116943359375,158.09674619648703,156.27779304601484,157.11148135221652,608600,PSA
2019-02-14,157.75567626953125,158.33925805331413,156.6567319703906,157.8769421194559,454900,PSA
