Price,Close,High,Low,Open,Volume,Ticker
Ticker,RL,RL,RL,RL,RL,
Date,,,,,,
2019-01-02,92.33989715576172,93.3820443106626,88.6091673564956,88.92444067370126,875400,RL
2019-01-03,88.1712875366211,91.87574563291186,87.96110755459432,91.87574563291186,1157800,RL
2019-01-04,91.77064514160156,92.61137168562003,89.75639986969232,89.80894987222516,871500,RL
2019-01-07,93.44335174560547,94.1527200854534,92.16474619827055,92.52381009247158,1285300,RL
2019-01-08,94.870849609375,95.62400189581062,93.32951392068092,94.81829959488967,922500,RL
2019-01-09,95.86043548583984,96.80625539006358,95.3174633153038,96.0180721365438,791500,RL
2019-01-10,93.58345031738281,94.3716334317529,91.76187304894964,94.13517515669201,1241200,RL
2019-01-11,92.33113098144531,95.27367727333674,92.24355655115703,93.46961861969525,1081200,RL
2019-01-14,93.41707611083984,94.80953438568827,91.70935119796103,91.71811064614282,1299000,RL
2019-01-15,92.97920227050781,93.97756560917632,91.8319617122049,93.46963117268825,653700,RL
2019-01-16,92.50628662109375,93.60974323179204,92.226044414734,92.98795604522827,1033700,RL
2019-01-17,94.47675323486328,95.7378466606886,91.76190527115783,91.78817693727885,634300,RL
2019-01-18,97.70829772949219,98.22499830719914,95.52766267271645,95.85168878338688,978900,RL
2019-01-22,95.7466049194336,98.07611726706136,95.2912071073246,97.20911888833729,797900,RL
2019-01-23,96.57857513427734,97.37551798906814,95.466365598819,96.29833288807114,719700,RL
2019-01-24,97.15655517578125,97.29667292445875,95.45758320812526,96.79749133457537,611100,RL
2019-01-25,99.5210952758789,99.71376302107426,97.62946229346166,98.3213049326626,817700,RL
2019-01-28,100.79095458984375,100.91356681981715,98.21623139042792,98.6365913619034,810400,RL
2019-01-29,101.71925354003906,101.973224063206,100.099103205423,101.4652830168721,821400,RL
2019-01-30,102.41986083984375,102.89277080192075,101.46528814932795,102.84022747774587,575800,RL
2019-01-31,101.71050262451172,103.25183810614571,100.91356656148305,103.25183810614571,916500,RL
2019-02-01,101.39522552490234,102.69134986188695,101.01864944631569,101.85062327093789,1254200,RL
2019-02-04,100.31803131103516,101.72800151912897,99.74002811350603,101.37769715833859,1284900,RL
2019-02-05,108.73406219482422,112.66620509913113,106.92999707219458,107.42042585073952,3927200,RL
2019-02-06,110.41553497314453,110.52062162341424,107.84080513751834,109.30331892678171,1643000,RL
2019-02-07,109.9075927734375,110.57317050487782,108.27868289582105,109.51350447593397,1605800,RL
2019-02-08,109.49600219726562,110.47685338816395,108.77788103224249,109.40842774914127,1474600,RL
2019-02-11,109.99516296386719,110.70453122610253,109.61858689526105,109.90758853241245,824800,RL
2019-02-12,110.92346954345703,112.0969816125935,110.17031741372735,110.51186237005817,1106400,RL
2019-02-13,107.92839050292969,111.61533007678635,107.73572271592262,111.19497007013624,1747900,RL
2019-02-14,107.5342788696289,108.13855376499232,104.72309771361276,106.76361457002804,1503600,RL
2019-02-15,109.54852294921875,109.78498126006701,107.59558710073496,108.55891919454092,1063000,RL
2019-02-19,109.86380004882812,110.51186555312268,108.74283126945514,109.35586566420666,939700,RL
2019-02-20,109.75872039794922,110.38926704691411,108.90923431151047,110.17908037625823,694700,RL
2019-02-21,110.55564880371094,112.0969842073827,109.17195673284175,109.83752776589242,1460300,RL
2019-02-22,111.32632446289062,112.19332274025291,110.73080894233343,110.73080894233343,672700,RL
2019-02-25,111.35257720947266,112.90266518031272,110.97600118424597,112.21082257446608,948400,RL
2019-02-26,110.79210662841797,112.09698370858041,110.67825385317836,111.39637488780143,519700,RL
2019-02-27,111.42263793945312,111.61529899130117,109.7849688874949,110.68699811044249,984400,RL
2019-02-28,109.61859130859375,111.30880396157286,109.54852908800885,111.15116730600742,694100,RL
2019-03-01,111.19498443603516,113.62959039038802,110.17910203929652,111.26504667336252,938500,RL
2019-03-04,109.8375244140625,111.86928192355964,109.46970779941662,111.1861920159314,824800,RL
2019-03-05,109.35587310791016,111.07235750335138,109.32959476283843,110.196599749667,545500,RL
2019-03-06,108.67278289794922,109.71493682477211,107.49051119660074,109.5310284873625,844400,RL
2019-03-07,108.02471923828125,108.93550811786902,107.09641814321171,108.05975035074634,785900,RL
2019-03-08,106.89498138427734,107.38541023355182,105.39743653782519,106.97380305067006,977900,RL
2019-03-11,108.12104797363281,108.33122795690367,106.81617083363697,106.99131970611249,566100,RL
2019-03-12,107.58684539794922,108.69030210706973,106.40457369321388,108.28745431708963,558600,RL
2019-03-13,106.56220245361328,108.59396015045859,106.42207800758882,108.06850684086953,1397900,RL
2019-03-14,106.43083190917969,107.1489529538767,105.65140809291712,106.59722800978663,1147200,RL
2019-03-15,105.77400970458984,107.14018952384413,105.44122419724606,106.25567909291705,1418100,RL
2019-03-18,108.7778549194336,108.97928211511766,106.08927925026235,106.39579308586809,901900,RL
2019-03-19,109.30332946777344,110.72205951674428,108.84793834918504,108.84793834918504,952000,RL
2019-03-20,107.49925231933594,109.31207040076043,106.789890755757,109.0931309866681,604000,RL
2019-03-21,109.1544418334961,109.44344348504615,107.24528973406117,107.43795750176122,757400,RL
2019-03-22,105.2923355102539,108.83914965747212,105.2047544081127,108.67275358120386,768900,RL
2019-03-25,107.35913848876953,107.44671960825552,104.46914194626778,104.83695859470416,569900,RL
2019-03-26,107.07890319824219,109.0581176958077,106.38706041640243,108.07727323659077,655000,RL
2019-03-27,109.7674789428711,110.7308178636668,108.65526948181842,109.59233005627283,1229100,RL
2019-03-28,113.89095306396484,115.4752194685424,112.21868006633682,112.21868006633682,1358500,RL
2019-03-29,114.13738250732422,114.93831898119434,113.41566941886876,114.60387247043295,1054400,RL
2019-04-01,113.53010559082031,115.3255986004822,113.04602231396018,115.28158858804578,906800,RL
2019-04-02,112.03386688232422,113.16046022483681,111.2505369080288,113.16046022483681,682000,RL
2019-04-03,112.06025695800781,113.08122345037248,111.72580369093727,113.01081011573072,585300,RL
2019-04-04,112.9843978881836,113.12522454636667,111.79620149844861,112.1218581092585,593800,RL
2019-04-05,112.29790496826172,114.3310415287872,112.10427835081929,113.204454920098,511900,RL
2019-04-08,112.13066864013672,112.55313521179082,111.3649387459092,112.17467193740043,922700,RL
2019-04-09,110.85443878173828,111.9986318123771,110.36155893591689,111.62016858362588,898800,RL
2019-04-10,111.30332946777344,112.06025602138274,110.71363290379425,111.16250951465213,835200,RL
2019-04-11,111.3913345336914,112.18346769570095,110.748831374217,111.62897783978659,895500,RL
2019-04-12,112.79076385498047,113.15162712798235,111.76979744975114,111.76979744975114,1555400,RL
2019-04-15,111.9370346069336,113.72373768191967,110.82804811228347,112.9228011260654,1221400,RL
2019-04-16,114.03179168701172,115.07916829292824,111.61138852979907,112.00745852997073,714400,RL
2019-04-17,115.96810150146484,116.68103146913317,113.99658187720733,114.42784508002856,1286900,RL
2019-04-18,115.38721466064453,117.31472426690024,115.29039800581222,115.80088460129438,830700,RL
2019-04-22,115.07916259765625,116.3905858054515,114.2430260525393,114.92953929421179,686200,RL
2019-04-23,116.240966796875,116.53140335372305,114.92954354062533,115.49283682204019,655000,RL
2019-04-24,116.20574188232422,117.61398166111935,115.54563200413334,116.48739521007118,718900,RL
2019-04-25,114.18141174316406,115.96810822116151,113.66212848561172,115.96810822116151,873400,RL
2019-04-26,115.46643829345703,115.96811488790708,113.42449166980393,115.11437158422112,780100,RL
2019-04-29,116.258544921875,116.29375830173731,114.8855185665721,115.28158179522187,648500,RL
2019-04-30,115.80965423583984,116.39935065782218,115.369581076453,115.80965423583984,548800,RL
2019-05-01,114.16381072998047,117.1475068880441,114.16381072998047,116.01211035932914,862900,RL
2019-05-02,116.08251953125,116.75142602599331,114.62147314092087,114.63028320096366,553900,RL
2019-05-03,115.55443572998047,116.84825224507868,115.18477578709108,116.10013572850634,565300,RL
2019-05-06,112.85237884521484,113.65331533756545,111.64657579183525,113.18683879366213,669300,RL
2019-05-07,109.0589599609375,112.0162461295221,108.13480341670252,111.71699953195125,983200,RL
2019-05-08,109.48143005371094,110.55520993123514,108.02039025600328,108.58368351716591,723600,RL
2019-05-09,110.61680603027344,111.28571921201964,108.4340398811469,110.68721935782241,843000,RL
2019-05-10,109.37581634521484,110.52881297129692,107.14904649478343,110.00072634793142,1069000,RL
2019-05-13,104.10372161865234,107.12262422777557,103.54042842467464,107.12262422777557,1999400,RL
2019-05-14,100.29268646240234,102.89792589400433,95.504694284693,102.3610360160375,4736000,RL
2019-05-15,101.81536102294922,102.18502099085494,98.8052612014556,99.39495782382697,2292400,RL
2019-05-16,100.9968032836914,102.66027950645933,100.83837665699997,101.95615967338973,1348500,RL
2019-05-17,99.0252914428711,101.22565784502814,98.68203482133343,100.21348795703882,1809300,RL
2019-05-20,98.50598907470703,98.84044902330494,97.229779408171,98.35636578979981,1515500,RL
2019-05-21,100.310302734375,100.88239933120187,98.72603626854446,98.7964496036892,1195200,RL
2019-05-22,99.27172088623047,101.12883047006203,99.09568756371999,99.32452752549129,1188100,RL
2019-05-23,96.14720153808594,98.60281107271062,95.79514159597406,98.32116446201809,1343400,RL
2019-05-24,96.14720153808594,97.2033813644216,95.55750499616484,96.64008814303654,902800,RL
2019-05-28,95.07344055175781,97.48504726774954,94.70378056112651,96.55208722926922,1002600,RL
2019-05-29,93.28671264648438,94.17566236772099,92.17773304591462,93.9996357782609,1627800,RL
2019-05-30,92.4417953491211,93.79722190463104,91.68486874390143,92.56501533462331,1473500,RL
2019-05-31,92.5298080444336,92.55621808256596,90.45266156706624,91.36801482107437,1230100,RL
2019-06-03,94.39572143554688,95.19665805273851,92.14254832210449,92.14254832210449,1244200,RL
2019-06-04,98.36518096923828,98.89326755979012,95.49590131676001,95.61912129738926,1673300,RL
2019-06-05,97.67866516113281,99.88782812358998,95.56631213949375,99.45655820272974,1050900,RL
2019-06-06,96.34963989257812,98.03071624131506,95.74233664956036,97.49382633096297,906300,RL
2019-06-07,97.59065246582031,98.10994245094886,96.27923591369314,96.85133254595875,922000,RL
2019-06-10,100.0374526977539,100.94400250281085,98.10112640196704,98.14513641220631,844600,RL
2019-06-11,100.21347045898438,101.99136324689974,100.07264381064279,100.76796027811497,803300,RL
2019-06-12,99.16610717773438,100.75037360581409,98.84045726167386,99.93183707047042,658000,RL
2019-06-13,99.12210083007812,100.15187061914628,97.35300449233047,99.72060071615776,837300,RL
2019-06-14,98.69082641601562,99.84382291809919,98.55880981061122,99.3685429936883,822500,RL
2019-06-17,98.84046173095703,99.80862160745647,98.05713182692686,98.55001175351158,653200,RL
2019-06-18,99.79100799560547,101.60411435621027,99.0252848363312,99.17490813009917,797300,RL
2019-06-19,99.14850616455078,99.92303267962815,97.64345643111368,99.92303267962815,847000,RL
2019-06-20,101.13763427734375,101.65691747240844,99.31572463469972,99.755797870511,840400,RL
2019-06-21,103.66365814208984,103.8660948003664,100.44232530570805,101.37527848693043,1044200,RL
2019-06-24,102.9243392944336,104.42938908312007,102.26422938457188,103.48763254698343,871700,RL
2019-06-25,100.05506134033203,102.94194098651215,99.37735144283873,102.80112102852026,926600,RL
2019-06-26,101.53370666503906,102.56347651815803,100.67116009042748,100.78558343965311,766400,RL
2019-06-27,100.1418228149414,102.12517800685843,98.9819152537515,102.08976686072464,929800,RL
2019-06-28,100.5756607055664,101.77099269073295,100.0621181233143,100.37201625620936,938100,RL
2019-07-01,100.63766479492188,104.46271025677433,99.6814017406403,102.35538907175302,1194200,RL
2019-07-02,97.63606262207031,100.3189129392048,97.29074652531247,100.23922097172851,1163500,RL
2019-07-03,97.83082580566406,98.40635469770078,96.20164339372138,98.03447698479279,1095800,RL
2019-07-05,98.2735595703125,98.30012130453188,96.64437682230673,97.46782435947381,992800,RL
2019-07-08,98.58345794677734,98.88450669756833,97.25531719067925,97.93709989509594,729300,RL
2019-07-09,97.91938781738281,98.90221251981303,97.52094829165088,98.08762114193654,1040500,RL
2019-07-10,97.00739288330078,98.23813603685973,95.22768923997393,98.18501257146872,1179400,RL
2019-07-11,98.37980651855469,98.60116329557326,96.52041094265326,97.29958436586044,879700,RL
2019-07-12,99.58399200439453,100.60223457143636,98.33553648834871,98.58345500791931,813400,RL
2019-07-15,99.67252349853516,100.31888822222022,98.27354712773956,99.0527272609788,840600,RL
2019-07-16,102.00121307373047,102.26684394192283,99.38920547602456,99.73452155151047,993000,RL
2019-07-17,98.1053237915039,99.44231382703065,96.82145046415604,98.71626388701317,1869500,RL
2019-07-18,96.85688018798828,98.58346051376448,96.46729006103432,98.1584592436996,897400,RL
2019-07-19,97.63606262207031,98.9287923879485,97.29074652531247,97.52095950824237,1213400,RL
2019-07-22,95.0948715209961,98.19386635893646,94.8735147468575,97.36156272648809,898500,RL
2019-07-23,96.41415405273438,96.6709287161728,95.18341095384598,95.29851404217113,896800,RL
