Price,Close,High,Low,Open,Volume,Ticker
Ticker,ROL,ROL,ROL,ROL,ROL,
Date,,,,,,
2019-01-02,21.96184730529785,22.004825878820643,21.43997039847124,21.94956696003698,1723500,ROL
2019-01-03,21.7039794921875,21.974127766827483,21.40313123252965,21.894309913693252,1710000,ROL
2019-01-04,22.41004180908203,22.483720349044734,21.808348956526615,21.96798110886427,978750,ROL
2019-01-07,22.471446990966797,22.723175639901882,22.3486523138529,22.354791608560188,1264800,ROL
2019-01-08,22.87666893005371,22.92578679794987,22.30567239831576,22.698617098078525,1791300,ROL
2019-01-09,23.33714485168457,23.42924127526507,22.845966268046126,23.042437701501502,1568700,ROL
2019-01-10,23.736228942871094,23.75464858040441,23.208212800798094,23.337146750344683,1229250,ROL
2019-01-11,23.51520347595215,23.785353531975435,23.43538737208728,23.637999914104743,1137300,ROL
2019-01-14,23.558177947998047,23.60115651820191,23.116117171426993,23.331006509259556,2303100,ROL
2019-01-15,23.69325065612793,23.797625667998428,23.45380065287767,23.662550676618668,993450,ROL
2019-01-16,23.423107147216797,23.760792962405045,23.263474938658458,23.66869826820309,2180250,ROL
2019-01-17,23.269611358642578,23.59501854370375,23.12839705241554,23.343288158857536,1421400,ROL
2019-01-18,23.748510360717773,23.828326451513853,23.32486921785339,23.33100675518429,1588650,ROL
2019-01-22,23.57659912109375,24.00638133792604,23.331008028194233,23.79762952376917,3242100,ROL
2019-01-23,22.839832305908203,22.839832305908203,21.53820865534957,22.28111605449168,8977650,ROL
2019-01-24,23.19593048095703,23.208210823797575,22.348646549127135,22.753869757374435,3728700,ROL
2019-01-25,23.41082763671875,23.754652733348284,23.183656166143308,23.343290125018115,3040050,ROL
2019-01-28,22.938058853149414,23.343280238544402,22.79684283824312,23.226624905303193,1609800,ROL
2019-01-29,22.674060821533203,23.07314310581359,22.63722153799676,23.0485841689872,1664850,ROL
2019-01-30,22.741588592529297,22.85824394062866,22.39162430482431,22.686331443227058,2720550,ROL
2019-01-31,22.86438751220703,23.030158978399367,22.667914308339885,22.741591101067577,2190450,ROL
2019-02-01,22.974899291992188,23.183649303427238,22.79070820876085,22.962618949593775,3370050,ROL
2019-02-04,22.661773681640625,22.98103976467922,22.588096893247105,22.944202248779057,2520150,ROL
2019-02-05,23.116117477416992,23.134537115832952,22.624938830280716,22.72317280311457,1879050,ROL
2019-02-06,22.96262550354004,23.116120166068246,22.821412943508886,23.085421936200046,1216500,ROL
2019-02-07,23.091562271118164,23.11612120743781,22.760015752506078,22.796853278688705,1374600,ROL
2019-02-08,23.310123443603516,23.310123443603516,22.971492369744695,23.014591254383628,1635750,ROL
2019-02-11,23.568721771240234,23.593349460761228,23.34091432203754,23.371700255072263,2483850,ROL
2019-02-12,23.999706268310547,24.024332195345142,23.67338807394491,23.685702798973438,2136600,ROL
2019-02-13,24.23982048034668,24.264446401090986,23.999700137981844,24.042797260795165,2827350,ROL
2019-02-14,24.43069076538086,24.492260869588456,24.05511894270178,24.05511894270178,2487450,ROL
2019-02-15,24.695438385009766,24.855519243618705,24.590771147560417,24.65233948905606,6211950,ROL
2019-02-19,24.449153900146484,24.72005839388753,24.27060365146756,24.707743672507583,2137500,ROL
2019-02-20,24.227516174316406,24.4922643127564,24.092062982924208,24.44916540990329,1590150,ROL
2019-02-21,24.39374542236328,24.455313753223063,24.042799595023094,24.215193387545817,1184250,ROL
2019-02-22,24.276769638061523,24.47379116520764,24.258298429513726,24.406064574873312,2161050,ROL
2019-02-25,24.116680145263672,24.44299825408071,24.110523665119025,24.23982031722122,1907850,ROL
2019-02-26,24.11052894592285,24.42453240171437,24.09205773993249,24.12900015191321,1287450,ROL
2019-02-27,24.190567016601562,24.252137112315946,23.938133675648004,24.018173214716757,823950,ROL
2019-02-28,24.418376922607422,24.45531757459342,24.085902247177295,24.18441300115493,1637400,ROL
2019-03-01,24.49226188659668,24.60924385639073,24.301396845592397,24.596929130433338,1616250,ROL
2019-03-04,24.81241798400879,24.86782983837853,24.461473890985637,24.652337140649312,2316000,ROL
2019-03-05,24.787796020507812,24.984817558432123,24.77548305514329,24.781637776314053,1370550,ROL
2019-03-06,24.75700569152832,24.904771808240092,24.646180223238964,24.75084744886537,1295100,ROL
2019-03-07,24.609241485595703,24.750849370639635,24.541514903133095,24.689281031318135,1786650,ROL
2019-03-08,24.695438385009766,24.701596628368335,24.424533807104165,24.48610214859981,1206450,ROL
2019-03-11,25.058696746826172,25.089482678483453,24.707750865720712,24.72006559068587,2977500,ROL
2019-03-12,25.046384811401367,25.1756797405307,24.972501743111565,25.12026787969117,1501200,ROL
2019-03-13,25.274188995361328,25.304973164940392,25.07101101002385,25.175678243499377,1383150,ROL
2019-03-14,25.255718231201172,25.366543709741862,25.083324412424382,25.255718231201172,1646400,ROL
2019-03-15,24.910932540893555,25.22493603287421,24.84936419584476,25.02175626658593,3081750,ROL
2019-03-18,25.23724937438965,25.25571881998432,24.929402381498686,24.929402381498686,1152450,ROL
2019-03-19,25.138736724853516,25.311132308254365,25.052540694664344,25.274189894236684,1216200,ROL
2019-03-20,24.966341018676758,25.101794177836855,24.800103691166136,25.07101000948633,1491000,ROL
2019-03-21,25.298818588256836,25.335759242231,24.880147861318804,24.923246758881433,744000,ROL
2019-03-22,24.861677169799805,25.249563732894828,24.855520687594833,25.2064648344373,997800,ROL
2019-03-25,24.978654861450195,25.138733940432772,24.769318648729445,24.84320170707011,1406700,ROL
2019-03-26,25.23724937438965,25.29266123419619,24.97250127757545,25.040226101111774,1019700,ROL
2019-03-27,25.372699737548828,25.446582801417122,25.181834715511272,25.24340305464592,1274700,ROL
2019-03-28,25.66823387145996,25.70517452534188,25.311133250719003,25.440428181572706,865500,ROL
2019-03-29,25.625137329101562,25.772903471074766,25.55125425811496,25.699020400088166,1867200,ROL
2019-04-01,25.834474563598633,25.86525873940573,25.62514005429653,25.760591484754677,1006650,ROL
2019-04-02,25.77906036376953,25.87141288283983,25.65592191016441,25.85909991823501,1131300,ROL
2019-04-03,25.957611083984375,26.099220748205912,25.828316146070172,25.87757152827667,736650,ROL
2019-04-04,25.674386978149414,25.982233940412748,25.52046437777329,25.969920977907982,908400,ROL
2019-04-05,25.699018478393555,25.803685714086704,25.58203651770115,25.723644405369612,1066200,ROL
2019-04-08,25.74211311340332,25.754427837207224,25.483521528631933,25.668230055113074,893850,ROL
2019-04-09,25.655916213989258,25.76058343593735,25.606660843482977,25.66207269492479,490200,ROL
2019-04-10,25.760589599609375,25.82215794671803,25.64360762628923,25.67439179984356,598650,ROL
2019-04-11,26.111526489257812,26.22235194931832,25.803681316388158,25.871406127052488,1404450,ROL
2019-04-12,26.431692123413086,26.45631981140854,26.12384514271429,26.166942275572943,1690800,ROL
2019-04-15,26.511730194091797,26.690280481747756,26.47478954490933,26.505573712813234,1094550,ROL
2019-04-16,26.56714630126953,26.647185855236188,26.480948503527458,26.60408871787653,809700,ROL
2019-04-17,26.444002151489258,26.671807799784016,26.35780613382813,26.60408298644706,832650,ROL
2019-04-18,26.659496307373047,26.72106464316591,26.4132194411794,26.4132194411794,1042950,ROL
2019-04-22,26.751850128173828,26.801105500594332,26.493258542210654,26.65949586450762,819450,ROL
2019-04-23,26.936559677124023,27.035068664190096,26.745692899866775,26.801106517074803,2023650,ROL
2019-04-24,24.227516174316406,25.797532033434713,24.085906500091344,25.766747857758865,7598850,ROL
2019-04-25,24.079740524291992,24.362957999577628,23.87040433689753,24.23366310350181,4557000,ROL
2019-04-26,24.073585510253906,24.22750809883944,23.919661160157418,24.221351618058648,2022900,ROL
2019-04-29,23.950448989868164,24.122844570193624,23.827310547857998,24.07974567511226,1738800,ROL
2019-04-30,23.8088436126709,24.012021623029348,23.691861640050934,23.99355041440274,2223750,ROL
2019-05-01,22.86682891845703,23.81499572881234,22.799102340250705,23.81499572881234,3028500,ROL
2019-05-02,23.100791931152344,23.24240333566373,22.71290541402611,22.879142744438948,5215200,ROL
2019-05-03,23.310123443603516,23.537930827260276,22.953021167540754,23.16851382922462,2401800,ROL
2019-05-06,23.131574630737305,23.199301202040292,22.92223843621286,23.014592691488673,1341600,ROL
2019-05-07,22.626712799072266,23.026912339466175,22.49125961713227,22.93455805737176,2516100,ROL
2019-05-08,22.614397048950195,22.768319659141973,22.52819925987563,22.58361111770288,2148000,ROL
2019-05-09,22.524864196777344,22.617483236271447,22.030898341557116,22.456945216605494,1963050,ROL
2019-05-10,22.500167846679688,22.561914467194036,22.09264509765688,22.44459712480975,1952100,ROL
2019-05-13,22.043241500854492,22.234653667073847,21.89505177859967,22.160558805946433,1581300,ROL
2019-05-14,22.30875587463379,22.450771513534967,22.135867808403223,22.135867808403223,1558500,ROL
2019-05-15,22.426069259643555,22.481639972339234,22.04942076634013,22.09881734797209,1082100,ROL
2019-05-16,22.784198760986328,22.796547024957118,22.46311916588664,22.487819226950958,1588950,ROL
2019-05-17,22.7718448638916,23.02500366448255,22.568084410480285,22.586608569852515,2189550,ROL
2019-05-20,22.858291625976562,22.88298991829851,22.685403579722937,22.685403579722937,1313700,ROL
2019-05-21,23.17936897277832,23.22259142513661,22.969432608867482,23.00648092990635,1135500,ROL
2019-05-22,23.15467071533203,23.407827765416005,23.086749971034006,23.16084484666062,1216500,ROL
2019-05-23,22.759504318237305,23.01266143809577,22.53721786353028,23.01266143809577,1586850,ROL
2019-05-24,22.864465713500977,23.01882959857635,22.740974252128435,22.920038196039528,833250,ROL
2019-05-28,22.586610794067383,23.02500593186835,22.518690047388095,22.93856102399267,2781450,ROL
2019-05-29,22.79654884338379,22.83359717137415,22.37667780334156,22.46929685675596,1608750,ROL
2019-05-30,23.29668617248535,23.32755859547378,22.827418630128843,22.845942790546363,1445100,ROL
2019-05-31,23.197891235351562,23.407825815525328,23.01882730924919,23.049701496442655,2027400,ROL
2019-06-03,23.04353141784668,23.426355889976495,22.92621406994611,23.167022898120575,2542500,ROL
2019-06-04,23.444875717163086,23.46957400864953,23.062051315842606,23.111447898815495,1231200,ROL
2019-06-05,23.45722770690918,23.593067438158506,23.21641890314753,23.5621950128602,1285350,ROL
2019-06-06,23.444875717163086,23.54984301434019,23.216416962553755,23.45104984839441,1112550,ROL
2019-06-07,23.765954971313477,23.963541315383374,23.45722719198489,23.593066920252316,1411050,ROL
2019-06-10,23.599241256713867,24.00058984651064,23.56836883182528,23.870922482168265,1144200,ROL
2019-06-11,23.17936897277832,23.667160678235962,23.062051644903473,23.64246238639711,1398150,ROL
2019-06-12,23.33373260498047,23.40782747970269,23.197892884603643,23.197892884603643,1222650,ROL
2019-06-13,23.309036254882812,23.500446691097395,23.216417219144716,23.401653524059736,822900,ROL
2019-06-14,23.24728775024414,23.32755675028932,23.08057385279566,23.27816017079059,1033200,ROL
2019-06-17,23.142324447631836,23.44487810754817,23.12997441734886,23.296688343520415,848400,ROL
2019-06-18,23.271987915039062,23.420177665475045,23.216417200265862,23.216417200265862,1528350,ROL
2019-06-19,23.37078285217285,23.420179439392967,23.160846473206718,23.259639647646946,1449750,ROL
2019-06-20,23.444875717163086,23.623937888799528,23.32755839096218,23.463398110857057,1913550,ROL
2019-06-21,23.204065322875977,23.383129248644284,23.16084287413459,23.370779220477733,2004600,ROL
2019-06-24,22.629833221435547,23.271990648649393,22.59896079477529,23.111450850205586,2004900,ROL
2019-06-25,22.623659133911133,22.765674770013547,22.444596939055828,22.64218329656827,2269950,ROL
2019-06-26,21.864185333251953,21.882709495233563,20.993570918852164,21.47518676444476,10637850,ROL
2019-06-27,22.617481231689453,22.7656709751215,21.858008354959942,21.864182485962672,6194550,ROL
2019-06-28,22.148212432861328,22.60513166535961,21.802436384804626,22.60513166535961,5452950,ROL
2019-07-01,22.376678466796875,22.580438977100723,22.234662816225654,22.29640944251984,1762500,ROL
2019-07-02,22.64835548400879,22.882990146689735,22.37050013425397,22.37050013425397,2799600,ROL
2019-07-03,22.882993698120117,22.99413691520816,22.740978052170423,22.753328083651986,1054350,ROL
2019-07-05,22.963260650634766,22.9817848129072,22.716277708873452,22.845945078219152,1191000,ROL
2019-07-08,22.882993698120117,22.969436852245035,22.67305729542559,22.90151786206171,1880550,ROL
2019-07-09,22.858291625976562,22.876815786858327,22.605134571316913,22.79654501189109,1126350,ROL
2019-07-10,22.987958908081055,23.154672835143906,22.83976914326104,22.83976914326104,1438050,ROL
2019-07-11,23.012657165527344,23.08057791593523,22.839769106846305,23.01883129741133,781200,ROL
2019-07-12,23.129974365234375,23.1978951152344,22.79654651364251,23.031181189438463,994050,ROL
2019-07-15,23.2596378326416,23.376955159775147,23.086749790862072,23.129972242947247,1036350,ROL
2019-07-16,23.32138442993164,23.525144894541583,23.234939525817623,23.234939525817623,1228350,ROL
2019-07-17,23.339908599853516,23.61158980829811,23.290512016499953,23.327558570734542,1259850,ROL
2019-07-18,23.401653289794922,23.525144747355768,23.278161832234076,23.32138428402066,945600,ROL
2019-07-19,23.35225486755371,23.525142894522286,23.327556577986773,23.506618735706827,1416450,ROL
2019-07-22,23.481924057006836,23.636289715458112,23.216418728255665,23.346084326780804,1729350,ROL
2019-07-23,23.556020736694336,23.673338080780308,23.327561947256388,23.61159322593175,2863800,ROL
2019-07-24,21.092363357543945,23.17319780231949,20.870078702592757,23.17319780231949,13406100,ROL
2019-07-25,21.005916595458984,21.401089247405018,20.413157617539934,20.802154371878483,3725850,ROL
2019-07-26,21.15410804748535,21.296123672382148,20.3761109428866,21.11088559354959,3811050,ROL
2019-07-29,20.919471740722656,21.41961345436621,20.82067857751817,21.15410638661387,1771500,ROL
2019-07-30,20.99974250793457,21.17263232462438,20.752761345740737,20.87007691197846,2447250,ROL
2019-07-31,20.70336151123047,21.12323422661578,20.629266637908554,20.99356863994271,1479450,ROL
2019-08-01,20.41933822631836,21.042969823868287,20.382289895164835,20.728066075309975,2849550,ROL
2019-08-02,20.382278442382812,20.462547426030174,20.10442318110462,20.332881872975104,2752950,ROL
2019-08-05,19.851268768310547,20.215570755361792,19.678382504230957,20.073553379134232,3392100,ROL
2019-08-06,20.073556900024414,20.35758816917635,19.85744814873905,19.962415458398954,4066800,ROL
2019-08-07,20.203224182128906,20.283493197013446,19.64133754481442,19.89449461990639,3405750,ROL
2019-08-08,20.57179069519043,20.60276250693642,20.237291229387424,20.39834606826523,1849950,ROL
2019-08-09,20.39834976196289,20.677099662649,20.392155752941758,20.58418421058606,1120650,ROL
2019-08-12,20.131986618041992,20.373568883701935,19.958540213596322,20.299235469903095,1506150,ROL
2019-08-13,20.16914939880371,20.36117779856915,19.983315006192484,20.008092807057437,1235850,ROL
2019-08-14,19.946149826049805,20.156760253983137,19.83464883248356,19.921372024395993,2311050,ROL
2019-08-15,20.16295623779297,20.20012205452602,19.902788431668863,20.032871448606823,1564650,ROL
2019-08-16,20.472679138183594,20.776208559424038,20.293040506356434,20.293040506356434,2212350,ROL
2019-08-19,20.596569061279297,20.739040095840302,20.42312267229539,20.677094703739158,1613700,ROL
2019-08-20,20.540822982788086,20.621350418297894,20.268267086082925,20.491267365205328,1998150,ROL
2019-08-21,20.58418083190918,20.73284765750616,20.485069614844527,20.708069853239994,1168050,ROL
2019-08-22,20.447898864746094,20.68948286209775,20.3921492568182,20.559399852849968,1267200,ROL
2019-08-23,19.80367660522461,20.36737202400566,19.716953415143774,20.299232627834737,1798050,ROL
2019-08-26,19.64882469177246,20.001908074760337,19.58687927476201,19.84704719060761,2066700,ROL
2019-08-27,19.5311279296875,20.181545003971127,19.506350119502898,19.82846165190273,1859850,ROL
2019-08-28,19.816068649291992,19.82845666514438,19.425817793968456,19.469177621700144,1414200,ROL
2019-08-29,20.21870994567871,20.255875769942204,20.014293481608135,20.014293481608135,1336650,ROL
2019-08-30,20.324012756347656,20.435513760327417,20.212511752367895,20.33640254445578,1785150,ROL
2019-09-03,20.528432846069336,20.547016645411638,20.162961501746455,20.16915551077767,2824950,ROL
2019-09-04,20.80098533630371,20.85054094072408,20.509845717272,20.695678347724275,1968300,ROL
2019-09-05,21.185041427612305,21.451403257549785,20.95584718894438,21.017792583644205,3673800,ROL
2019-09-06,21.0115966796875,21.290348295820362,20.931069262076093,21.191237082683777,1578750,ROL
2019-09-09,21.259374618530273,21.271764406241708,20.90629136635442,21.092125776287993,1716900,ROL
2019-09-10,21.40804672241211,21.531933986363942,20.9806282183343,21.197434474747144,2361450,ROL
2019-09-11,21.562908172607422,21.649629614228477,21.34610191018186,21.45760115973016,1790850,ROL
2019-09-12,21.507156372070312,21.600073585459707,21.414239158680918,21.55671198291153,1348200,ROL
2019-09-13,21.39565658569336,21.66201845226676,21.253183753311244,21.637240645428502,1443900,ROL
2019-09-16,21.457595825195312,21.525736995365556,21.240791388917735,21.2903469924523,1908150,ROL
2019-09-17,21.680601119995117,21.705380699815436,21.43901882535723,21.48857444050068,1978950,ROL
2019-09-18,21.414234161376953,21.674401943703867,21.197427971479197,21.674401943703867,2113050,ROL
2019-09-19,21.531930923461914,21.59387631887471,21.36468207756883,21.44520949658198,1530900,ROL
2019-09-20,21.401853561401367,21.723965094954863,21.39565955189523,21.587688024575854,4973550,ROL
2019-09-23,21.11071014404297,21.525740608621096,21.067348540609615,21.38946178990155,1962600,ROL
2019-09-24,21.11690902709961,21.23460229335464,20.94965836946254,21.172658655562387,1834800,ROL
2019-09-25,21.054960250854492,21.352293918117468,21.017794428570845,21.22221088175203,1735950,ROL
2019-09-26,20.94965934753418,21.14788183332174,20.88771393460116,21.061160381914092,1774200,ROL
2019-09-27,20.714265823364258,20.9620438894962,20.392154337392732,20.9620438894962,1912800,ROL
2019-09-30,21.10451889038086,21.166464299406833,20.701879934582486,20.73904576219911,3663750,ROL
2019-10-01,20.751432418823242,21.315129755545737,20.745240182250335,21.178850927981237,1709550,ROL
2019-10-02,20.6956844329834,20.807185461838554,20.48507393839405,20.596574967249204,2069850,ROL
2019-10-03,21.067346572875977,21.098320156577362,20.4664852783441,20.67709572292298,1382250,ROL
2019-10-04,21.346101760864258,21.476184808510205,21.09832368332502,21.14787929883287,1340700,ROL
2019-10-07,21.19743537902832,21.35849201908379,21.154073771446235,21.327518429525934,965250,ROL
2019-10-08,21.09212875366211,21.3275170309241,20.980627737512776,21.048767148923563,1740000,ROL
2019-10-09,21.364686965942383,21.451408412664726,21.166464490864204,21.265575728403295,1729500,ROL
2019-10-10,21.5690975189209,21.581487306330523,21.27176388806875,21.358487083191413,930300,ROL
2019-10-11,21.785905838012695,21.99651629407763,21.68059883773182,21.798293854370208,1886250,ROL
2019-10-14,21.7177677154541,21.779713117649653,21.600074464105024,21.705379698364098,1015050,ROL
2019-10-15,21.860239028930664,21.934572443059352,21.74254401349814,21.810683419511538,872400,ROL
2019-10-16,21.922182083129883,21.965543683303398,21.742543446730327,21.84784867093886,1234650,ROL
2019-10-17,22.07085418701172,22.169967199223272,21.93457711818727,22.002716538723877,2633400,ROL
2019-10-18,22.275272369384766,22.454912820364882,22.021300260945736,22.0894379089912,1252500,ROL
2019-10-21,22.684106826782227,22.690300836115913,22.2566882822807,22.39296712111419,1752000,ROL
2019-10-22,22.287654876708984,22.57259871134251,22.16995987507314,22.386764311680846,3043200,ROL
2019-10-23,23.867246627807617,24.821193140942622,23.07435498375788,23.07435498375788,5722350,ROL
2019-10-24,23.91061019897461,23.960165820031065,23.48938741999473,23.867248587488007,1708950,ROL
2019-10-25,23.77432632446289,24.009716360798567,23.62565949275039,23.86724353734531,1313700,ROL
2019-10-28,23.53893280029297,24.145991598208607,23.51415677092712,23.86104599352334,2809050,ROL
2019-10-29,23.644245147705078,23.693800762169918,23.42124488261331,23.501772313056527,1968000,ROL
2019-10-30,23.613269805908203,23.83007602988156,23.576102214484973,23.644241617262022,1212750,ROL
2019-10-31,23.60708236694336,23.792915059024,23.452219722585898,23.57610877472259,1260450,ROL
2019-11-01,23.95397186279297,23.972553891543132,23.58849871364096,23.724775785719537,1460850,ROL
2019-11-04,23.929189682006836,24.152191725285896,23.699995402065476,24.07785830160908,1131150,ROL
2019-11-05,23.960163116455078,24.0406905485232,23.842468086664066,23.94777332646458,1079550,ROL
2019-11-06,23.799104690551758,24.214133381924356,23.774326884682473,24.170771778590993,1319250,ROL
2019-11-07,24.18160629272461,24.305997152602032,23.851970958906247,23.851970958906247,1680150,ROL
2019-11-08,24.05721664428711,24.237582955335203,23.982582124602317,24.131851163971906,1066200,ROL
