Price,Close,High,Low,Open,Volume,Ticker
Ticker,SWK,SWK,SWK,SWK,SWK,
Date,,,,,,
2019-01-02,99.70680236816406,99.92978341000749,96.62631949562709,97.12183782261266,981200,SWK
2019-01-03,96.79973602294922,99.18648783772261,95.93258065647899,99.06260669941074,949100,SWK
2019-01-04,101.70537567138672,101.82925680294797,98.70747875120007,98.70747875120007,1185100,SWK
2019-01-07,103.85261535644531,104.91798290228805,100.83820418731973,102.07700278004076,2272800,SWK
2019-01-08,105.76863098144531,106.80921727340048,104.57112188233822,105.26484607697499,1669000,SWK
2019-01-09,108.22972869873047,108.93997387668999,106.15679722495196,106.36326369992027,1548000,SWK
2019-01-10,109.03905487060547,109.28681711800692,106.77617816018225,107.48642321515368,1280100,SWK
2019-01-11,109.60064697265625,109.91446738203697,107.94064878420889,108.24622767458648,995900,SWK
2019-01-14,108.09756469726562,109.37765909675876,107.68463183302337,108.38662274291957,1150500,SWK
2019-01-15,106.5284652709961,108.32884719334042,104.90150185961531,108.32884719334042,2181400,SWK
2019-01-16,107.05699920654297,108.13888150468627,106.66884123063781,107.02395751402874,1295400,SWK
2019-01-17,109.55109405517578,111.4505879281038,105.52087119278062,105.91728955178384,2262200,SWK
2019-01-18,113.0445327758789,113.93646949441712,109.80713983547022,110.3769767429651,2214100,SWK
2019-01-22,95.54443359375,99.51684678957406,94.99109861962957,99.02132848066877,8738200,SWK
2019-01-23,97.90640258789062,99.94628601863663,95.42054452501459,97.4521738335779,4049900,SWK
2019-01-24,97.65037536621094,98.93873036394872,96.32073085689863,98.1541540337569,2456900,SWK
2019-01-25,99.5829086303711,99.8967353942812,98.14589747254347,99.09564448811278,1701500,SWK
2019-01-28,100.10319519042969,100.18578051217952,97.95594532065302,98.43494900800071,1429500,SWK
2019-01-29,101.8540267944336,102.63859675457549,99.74806656331789,100.22707022150311,1352700,SWK
2019-01-30,102.80377197265625,103.23321939295445,101.01163849534426,102.77073658634782,1148700,SWK
2019-01-31,104.4224853515625,104.711537153455,101.61454005991394,102.69642236165012,1548100,SWK
2019-02-01,105.53739166259766,105.62823740494547,103.85262466931479,104.47202402121926,1240100,SWK
2019-02-04,106.36322784423828,106.37149456554693,104.62891760017901,105.64472878610725,881000,SWK
2019-02-05,107.57727813720703,107.65986976062948,105.26485760107171,106.50366264298992,1359500,SWK
2019-02-06,107.5525131225586,108.18017927453843,106.94963454126909,107.41211743111931,1168200,SWK
2019-02-07,105.75211334228516,107.10653268786908,104.24903790751004,106.61927491270976,1271100,SWK
2019-02-08,104.73629760742188,106.66056007955468,103.86913602106132,105.31440113109167,1121700,SWK
2019-02-11,105.99162292480469,106.42933082856638,105.18227789920745,105.39700479003912,969500,SWK
2019-02-12,109.27027130126953,109.87314963751646,106.19805037973809,107.03218266862957,1524500,SWK
2019-02-13,110.89724731445312,111.27715108849087,109.4106865056044,109.6336737773594,1170100,SWK
2019-02-14,109.9062271118164,110.99636346388141,108.93996559462948,109.89797299006206,786300,SWK
2019-02-15,112.63983154296875,112.92062287955213,110.42651733454225,110.8724793043093,998200,SWK
2019-02-19,112.78024291992188,113.64740461705865,111.27717356636964,111.90482710057526,774400,SWK
2019-02-20,112.99496459960938,113.82083039810949,112.63983575336407,112.95366878934196,879400,SWK
2019-02-21,113.58956146240234,114.04379011226263,112.24340895681141,112.73066668952046,668600,SWK
