Price,Close,High,Low,Open,Volume,Ticker
Ticker,SYK,SYK,SYK,SYK,SYK,
Date,,,,,,
2019-01-02,143.7961883544922,146.79310681425866,142.80031149537214,145.07126975200563,1750000,SYK
2019-01-03,141.89752197265625,144.98750377973764,141.12502297047226,144.28016196887674,2320100,SYK
2019-01-04,146.17880249023438,147.85410043162497,143.55418088343288,143.55418088343288,1785200,SYK
2019-01-07,146.12298583984375,148.61730769853207,145.51802374473564,145.91822637960456,1617600,SYK
2019-01-08,147.89134216308594,148.42185916408982,145.69484328846693,147.10023900587098,1499800,SYK
2019-01-09,148.72898864746094,150.66488703801,148.38461275286076,148.94305016996944,1216200,SYK
2019-01-10,150.1623077392578,150.26468747074438,147.24916483724007,147.99372920988233,1015700,SYK
2019-01-11,148.4404754638672,149.4921789642879,147.89134010162604,148.97097825582202,1116100,SYK
2019-01-14,146.73724365234375,148.3660028203439,146.63486393657476,147.26774639649,1327200,SYK
2019-01-15,150.90687561035156,150.98133488266572,146.5231800388142,146.6069555962014,1700700,SYK
2019-01-16,152.07962036132812,152.9544993072744,150.32987667109367,150.62769964322925,1792600,SYK
2019-01-17,153.0196075439453,153.4849673278257,151.45599128524736,151.47460965306558,1164200,SYK
2019-01-18,155.94207763671875,156.53773763486976,153.4012170104119,154.26677945390202,2022000,SYK
2019-01-22,154.38778686523438,156.10030768802886,153.1220075175916,155.29988818581865,2400500,SYK
2019-01-23,154.29470825195312,155.7559449742809,152.95446963321197,154.48084934863266,1177000,SYK
2019-01-24,155.70936584472656,155.8489680806867,153.9130699326801,154.57388698674526,1209900,SYK
2019-01-25,154.2760772705078,156.47257611574653,153.97825438049713,156.43535358011553,1467200,SYK
2019-01-28,150.7765655517578,153.76418152530707,150.67418583424296,153.3081238378949,1927300,SYK
2019-01-29,149.91099548339844,152.10747985225322,149.65038095996147,150.89755587324743,1823100,SYK
2019-01-30,166.9617919921875,168.62777386254567,162.68047606136037,163.81595513340616,5426200,SYK
2019-01-31,165.2678985595703,167.04556233537647,164.59777926127765,165.98454248002224,2909600,SYK
2019-02-01,165.02593994140625,166.58955672742456,164.24413864922627,165.56575917695673,1546800,SYK
2019-02-04,164.86769104003906,165.40751018317138,163.56468910948234,164.71877247607375,1376800,SYK
2019-02-05,166.924560546875,167.38992033183797,165.1841052939891,165.57500580915953,1261800,SYK
2019-02-06,168.18099975585938,168.2740773804028,166.13341983076845,166.7290797035522,950200,SYK
2019-02-07,168.22756958007812,168.28341048443755,166.64534908272634,166.82218808096732,1351900,SYK
2019-02-08,170.00526428222656,170.0331847371716,167.1200275235567,167.1758684334468,1317700,SYK
2019-02-11,170.8149871826172,171.21520404264334,169.9028858435881,170.8894464635908,1480400,SYK
2019-02-12,172.79737854003906,172.9369807785302,170.43334315614138,172.0528001308984,1372200,SYK
2019-02-13,172.45301818847656,173.27205593234035,170.71257718441922,173.02075767880885,1257000,SYK
2019-02-14,172.6857452392578,173.81192244465646,171.5875026933507,172.1831627965807,866900,SYK
2019-02-15,173.88633728027344,174.686756670774,173.4209774997883,174.41684004516668,1802800,SYK
2019-02-19,173.2162322998047,174.41685438342816,172.8625542930321,173.8956536587031,1356900,SYK
2019-02-20,174.6402587890625,175.05907984934245,173.21625866311655,173.33725677893443,1157300,SYK
2019-02-21,174.58441162109375,175.22661051795978,173.61645513253575,173.98875155184894,1010500,SYK
2019-02-22,175.598876953125,175.71055876805306,174.43547737544094,174.83569421502486,813100,SYK
2019-02-25,174.49130249023438,176.54819900614464,173.327903017846,176.03630039796303,1869000,SYK
2019-02-26,172.40647888183594,174.34237707404984,171.41990431913257,174.34237707404984,2152800,SYK
2019-02-27,173.8305206298828,174.56578293689785,171.55956231203064,171.55956231203064,1140400,SYK
2019-02-28,175.44996643066406,176.4365412470945,173.17902228045395,173.560606566145,1358500,SYK
2019-03-01,178.30726623535156,178.5492482235917,175.98976927244507,176.48304953417008,1344200,SYK
2019-03-04,177.46031188964844,179.62889035303127,174.46339351550176,179.28452863108083,1111500,SYK
2019-03-05,176.77151489257812,177.46025230688815,175.62673409726878,177.35787261289138,828600,SYK
2019-03-06,175.29176330566406,177.1439008158447,174.48204162612492,176.8460636637594,764400,SYK
2019-03-07,174.10040283203125,175.86877855979228,173.65366140888958,175.28242067828185,1168700,SYK
2019-03-08,174.2586212158203,174.3610009366459,171.71776076470795,173.21621984134418,968800,SYK
2019-03-11,176.11080932617188,176.3341872004514,174.28659219036672,175.33831015448678,819700,SYK
2019-03-12,177.58126831054688,177.9814708446567,176.2131096259807,176.631930524967,891400,SYK
2019-03-13,178.5492706298828,179.5823701042381,177.81400828764905,178.2328293282458,842800,SYK
2019-03-14,179.9546661376953,179.9546661376953,177.87915090697314,179.47998998459047,998300,SYK
2019-03-15,180.59681701660156,181.30417297064457,179.5451135718406,179.6940321097079,1734300,SYK
2019-03-18,180.168701171875,181.1273412200164,179.16352230358368,181.1273412200164,1801100,SYK
2019-03-19,182.53271484375,182.67233129819218,179.88947471215747,181.37863168295365,1212600,SYK
2019-03-20,183.48208618164062,184.98054550828974,181.85332666144186,182.54206437115062,1265200,SYK
2019-03-21,184.28248596191406,184.9433031451519,182.47688761507303,182.47688761507303,896900,SYK
2019-03-22,180.96913146972656,184.01258870928237,180.93189473070697,183.47276960673713,932700,SYK
2019-03-25,181.64852905273438,181.86259056827387,179.9267064424031,181.23901018707414,916100,SYK
2019-03-26,182.49549865722656,183.64959605981457,181.82537941722757,183.12838116075122,800600,SYK
2019-03-27,182.60720825195312,183.1470273997478,180.1594250182907,182.32798949252057,917400,SYK
2019-03-28,183.0177764892578,183.3070639933546,181.37536220568643,183.10177466737687,555200,SYK
2019-03-29,184.3242645263672,184.65087349583743,182.775160903894,183.84832703691464,1023800,SYK
2019-04-01,182.99908447265625,186.49855691229612,182.40184174586665,185.93863562619782,1625900,SYK
