Price,Close,High,Low,Open,Volume,Ticker
Ticker,TRV,TRV,TRV,TRV,TRV,
Date,,,,,,
2019-01-02,101.38835144042969,102.09669612215718,100.48996193839038,101.49200745838864,1793400,TRV
2019-01-03,99.5656509399414,101.32787560858654,99.3928799387763,101.11191680003503,1887500,TRV
2019-01-04,102.51998138427734,102.60636360267125,100.31719856725826,100.7750368467735,1793900,TRV
2019-01-07,102.19171905517578,103.26287298632076,101.68205279895544,102.11397045076845,1082800,TRV
2019-01-08,101.79434967041016,103.23695964555284,100.93051436122931,103.12465683741348,1403900,TRV
2019-01-09,102.51998138427734,103.28015413290086,101.91529926497918,102.50270757681488,1753000,TRV
2019-01-10,103.89348602294922,103.96259444024766,102.26947775968448,102.39041419468603,1061500,TRV
2019-01-11,104.06622314453125,104.40311833086923,103.02961699457347,103.56519716824529,839400,TRV
2019-01-14,104.16128540039062,104.49818071565248,103.47885456957917,103.54796299079744,1406800,TRV
2019-01-15,105.232421875,105.26697607979973,104.11807348473582,104.11807348473582,1373400,TRV
2019-01-16,105.64705657958984,105.88892940167044,104.67955870072738,105.63841638150407,1349800,TRV
2019-01-17,106.1999282836914,106.24311610022023,104.76595832789364,105.07693960528253,1109200,TRV
2019-01-18,107.12421417236328,107.46974960006574,106.02713968369852,106.87370115204251,1923900,TRV
2019-01-22,105.69889068603516,108.41133307394888,104.81777496556812,106.68366242735209,2155800,TRV
2019-01-23,106.26901245117188,106.46769746392395,104.17853267093237,105.96667142354056,2008700,TRV
2019-01-24,107.44384765625,107.51295607189458,105.8889478474945,106.03579828783329,1621000,TRV
2019-01-25,107.96214294433594,108.99010251023955,107.5820532883988,107.98805694986972,1972800,TRV
2019-01-28,108.00533294677734,108.09171516382177,106.77868832934055,107.32290222820711,1284500,TRV
2019-01-29,107.82392120361328,108.38541546318666,107.4438315650331,107.75481279831864,1275200,TRV
2019-01-30,108.73959350585938,109.00738695090283,107.18469380129271,107.72890770930992,1682400,TRV
2019-01-31,108.44587707519531,108.67047608347403,107.44382503098244,108.32494066855443,1619500,TRV
2019-02-01,109.26653289794922,109.3010871032321,108.09171628049417,108.8691694230072,1064700,TRV
2019-02-04,108.8777847290039,109.27514811309591,107.99666917209356,109.26650791611542,1214100,TRV
2019-02-05,108.99873352050781,109.05920172516947,108.26447486660477,108.94690551380926,1306400,TRV
2019-02-06,108.45451354980469,108.82596295474721,107.8671053417686,108.82596295474721,1504900,TRV
2019-02-07,109.49976348876953,109.53431769132366,108.07443393847751,108.14354234358578,1083900,TRV
2019-02-08,108.66184997558594,109.49977132349149,107.65116419308865,109.30108629222431,1252700,TRV
2019-02-11,108.34221649169922,108.8777967243281,107.42655322706466,108.8777967243281,1610200,TRV
2019-02-12,109.93167877197266,110.02670117931902,108.93826688914976,109.21469391310099,1729500,TRV
2019-02-13,110.60546875,111.54705926792725,110.18219787841491,110.38951651019512,1351000,TRV
2019-02-14,109.6466064453125,110.52771548359304,109.04192441811406,109.81937085578639,1266500,TRV
2019-02-15,111.21016693115234,111.2965425569031,110.45862780928174,110.61411843482253,1304600,TRV
2019-02-19,111.52114868164062,111.83212993411482,110.57955813484732,110.83871137542272,1459300,TRV
2019-02-20,112.073974609375,112.41086978312643,111.41745147411106,111.47792626018139,1784800,TRV
2019-02-21,112.1430892944336,112.29857329977702,111.55567451839687,112.2208312971053,1227800,TRV
2019-02-22,113.17970275878906,113.4302091918243,112.28130668076665,112.47999828674261,1422900,TRV
2019-02-25,114.44955444335938,115.00240856029173,113.42158823037222,113.42158823037222,2051100,TRV
2019-02-26,115.12333679199219,115.66754408048025,114.33724348729938,114.42363229173542,2278700,TRV
2019-02-27,114.56181335449219,115.25288411058382,114.4063293544377,114.72594414193526,1350100,TRV
