Price,Close,High,Low,Open,Volume,Ticker
Ticker,TSCO,TSCO,TSCO,TSCO,TSCO,
Date,,,,,,
2019-01-02,14.82979679107666,15.15081231355801,14.582725239610333,14.7540520772046,7585500,TSCO
2019-01-03,14.550259590148926,14.862257587609108,14.483532360829491,14.802743647970981,10809500,TSCO
2019-01-04,14.849635124206543,15.046211909119771,14.589937747786115,14.788316995366905,10217500,TSCO
2019-01-07,15.067852020263672,15.240984753902799,14.79372805851364,14.83160041402041,12700500,TSCO
2019-01-08,15.058833122253418,15.249999042469755,14.86586301981046,15.172450165047247,10014000,TSCO
2019-01-09,15.260821342468262,15.527731999267932,15.163435044986047,15.163435044986047,6544500,TSCO
2019-01-10,15.269837379455566,15.275248206558903,14.846026521010307,15.073260620467677,6331000,TSCO
2019-01-11,15.38526439666748,15.565608742158199,15.219346635667794,15.257218999818072,6023000,TSCO
2019-01-14,15.493461608886719,15.783817950990377,15.24458597273111,15.273440844764052,12025500,TSCO
2019-01-15,15.681021690368652,15.769392213031864,15.343777238229334,15.482642499703957,8319000,TSCO
2019-01-16,15.713484764099121,15.897435656107955,15.653970835530002,15.673808238417504,6461000,TSCO
2019-01-17,15.960561752319336,15.976792514904941,15.457397792723414,15.58544315075412,6077500,TSCO
2019-01-18,16.137296676635742,16.25632454206612,15.99843140693588,16.056141157487147,6277000,TSCO
2019-01-22,16.115657806396484,16.321252052212127,16.036306456037632,16.070572163673575,5847500,TSCO
2019-01-23,16.054338455200195,16.247306828145124,15.873992477587073,16.23107606853942,5129500,TSCO
2019-01-24,15.796445846557617,16.034501607654708,15.54576596842983,15.947936970832917,6618500,TSCO
2019-01-25,16.158939361572266,16.16615265090486,15.895635381957286,15.938918557766542,7451500,TSCO
2019-01-28,16.07056999206543,16.11565562869594,15.879404072104924,16.036304289059796,5962000,TSCO
2019-01-29,16.213045120239258,16.276165711979097,15.951545280187466,16.14090705540699,5295000,TSCO
2019-01-30,16.162548065185547,16.350107370980936,16.112051593610953,16.270756018493298,8871500,TSCO
2019-01-31,15.401491165161133,15.792840546340619,14.900131366217886,15.58905047410495,33385000,TSCO
2019-02-01,15.6846342086792,15.95695572725855,15.27344737661833,15.504289891417224,12705500,TSCO
2019-02-04,16.025484085083008,16.03089491233827,15.509697750933405,15.675615454203509,7207000,TSCO
2019-02-05,16.15713882446289,16.254525132051405,15.964170391979472,16.047128397740813,7713000,TSCO
2019-02-06,16.416833877563477,16.434868822299514,15.967774761040936,16.157136521048333,6167500,TSCO
2019-02-07,16.36634063720703,16.368144819999387,16.085001635483582,16.339289934673033,7866000,TSCO
2019-02-08,16.649477005004883,16.708990934083435,16.22205784894621,16.267145201221858,9401500,TSCO
2019-02-11,16.986722946166992,17.09853752572825,16.718009870628443,16.772112978197175,9177500,TSCO
2019-02-12,17.233800888061523,17.266264137444587,16.997549268193684,17.04804574511483,8196500,TSCO
2019-02-13,17.282493591308594,17.345614182672346,17.04083116155575,17.237406226115112,8218000,TSCO
2019-02-14,17.273473739624023,17.367253382423982,17.042631277361533,17.177889914501925,7353000,TSCO
2019-02-15,17.598094940185547,17.60891487384163,17.242813793255486,17.347415084798268,7288000,TSCO
2019-02-19,17.506118774414062,17.55841942320255,17.195924966257003,17.421356602877903,6234000,TSCO
2019-02-20,17.59268569946289,17.67925205614308,17.450212047418994,17.450212047418994,6023500,TSCO
2019-02-21,17.49529457092285,17.679247168054207,17.43217400325682,17.576450077895316,4359000,TSCO
2019-02-22,17.37588882446289,17.603851384453616,17.2854267516673,17.558621210766084,6575000,TSCO
2019-02-25,17.151546478271484,17.49892029224774,17.108126261267742,17.464544731613305,4743500,TSCO
2019-02-26,17.151546478271484,17.229343981330565,17.05927614468479,17.090033497687322,5228500,TSCO
2019-02-27,17.25286293029785,17.352369667678015,17.068320558976126,17.13707167231992,5825000,TSCO
2019-02-28,17.251054763793945,17.33608868118645,17.062894165626474,17.184113609783903,6788000,TSCO
2019-03-01,17.180496215820312,17.433788013486545,16.91815631061347,17.345135884303364,6448000,TSCO
2019-03-04,16.985095977783203,17.348752570154915,16.798745353644726,17.232961304770537,7906500,TSCO
2019-03-05,16.918153762817383,17.175065454978526,16.909107382060082,17.008615844969707,3741500,TSCO
2019-03-06,16.679332733154297,17.15154236148346,16.639529007915417,16.972428186039245,4610500,TSCO
2019-03-07,16.68657112121582,16.74989578604108,16.572589830287594,16.6576237382624,4331500,TSCO
2019-03-08,16.353670120239258,16.70828026765329,16.257781601146867,16.596108955264125,5876500,TSCO
2019-03-11,16.196266174316406,16.447749652210696,16.047909349848922,16.44413144557789,7251500,TSCO
2019-03-12,16.386240005493164,16.547261448479418,16.169132034794437,16.169132034794437,5907500,TSCO
2019-03-13,16.5581111907959,16.62505231390046,16.400706292544488,16.442319974196057,5737500,TSCO
2019-03-14,16.355480194091797,16.54002254531877,16.330151020925403,16.54002254531877,4753500,TSCO
2019-03-15,16.185413360595703,16.436896866553774,16.138373218279064,16.3554811692588,10022000,TSCO
2019-03-18,16.254167556762695,16.29216132599155,16.10581068757083,16.179988259456287,8100000,TSCO
2019-03-19,16.492984771728516,16.67571718304781,16.286731424568906,16.34281795188884,5245500,TSCO
2019-03-20,16.478506088256836,16.71732496705997,16.41156495568939,16.498408811770652,7044500,TSCO
2019-03-21,17.070131301879883,17.10631510109498,16.511077714369318,16.61782259645607,6020500,TSCO
2019-03-22,16.767986297607422,17.07917453682132,16.729992535152874,16.990522424427375,4480000,TSCO
2019-03-25,17.015850067138672,17.187727828541824,16.719136408377896,16.719136408377896,4889000,TSCO
2019-03-26,17.176877975463867,17.310760289570275,17.104508644064982,17.113553300746503,5214500,TSCO
2019-03-27,17.15335464477539,17.332468844415658,17.0031878285736,17.175065613709428,6173000,TSCO
2019-03-28,17.23115348815918,17.341516582381992,17.16240236872447,17.16240236872447,5558500,TSCO
2019-03-29,17.687076568603516,17.83543339776892,17.258287148760264,17.346940978463202,9793000,TSCO
2019-04-01,17.63823127746582,17.9548477474431,17.479019784609193,17.759450726396636,9895000,TSCO
2019-04-02,17.578523635864258,17.679842062825877,17.491681488295157,17.64184829974802,5423000,TSCO
2019-04-03,17.744972229003906,17.93675099972287,17.556813390636723,17.65089194711003,6812000,TSCO
2019-04-04,18.018171310424805,18.019981277064364,17.7069830041547,17.748596708075425,5619500,TSCO
2019-04-05,18.29679298400879,18.358307690374687,18.02721667151032,18.038073019890614,8780000,TSCO
2019-04-08,18.394487380981445,18.437909313955576,18.1194846811795,18.21899140837298,6224000,TSCO
2019-04-09,18.260604858398438,18.44514548295967,18.226229305701636,18.34201882486927,4676000,TSCO
2019-04-10,18.304025650024414,18.336592963073485,18.09777405267625,18.309453823102686,4879000,TSCO
2019-04-11,18.626075744628906,18.636930368583823,18.3456447834513,18.445151542011764,5791500,TSCO
2019-04-12,18.86127281188965,18.949924929076314,18.655019468482497,18.68215861116893,6430500,TSCO
2019-04-15,18.904691696166992,18.982487453543712,18.705674799457,18.810611420556565,7711000,TSCO
2019-04-16,19.029529571533203,19.14532082475052,18.86307996854968,18.86307996854968,8118000,TSCO
2019-04-17,18.797950744628906,19.192362962560825,18.78890436331302,19.10732904869647,6239000,TSCO
2019-04-18,18.651399612426758,18.897454939517875,18.5319901558354,18.77080906901812,7037000,TSCO
2019-04-22,18.387248992919922,18.671298042042775,18.323926066390644,18.642350664975154,4579000,TSCO
2019-04-23,18.665878295898438,18.73643766066951,18.416202981186416,18.49400048688806,5918000,TSCO
2019-04-24,18.82689666748047,19.01324727693736,18.68034806221746,18.705677237766537,7492500,TSCO
2019-04-25,19.0078182220459,19.536116127758234,18.80337486084287,18.960778080290307,19157000,TSCO
2019-04-26,19.02048683166504,19.11818706825177,18.548277073460323,19.015060382737637,9300500,TSCO
2019-04-29,18.940879821777344,19.150751386570438,18.80337758359351,19.04400650041522,5965000,TSCO
2019-04-30,18.7255859375,18.926411165072253,18.555516343317286,18.852231855637015,6919500,TSCO
2019-05-01,18.267845153808594,18.77985862084371,18.20271224137103,18.743673094349223,4551500,TSCO
2019-05-02,18.640548706054688,18.642356947181824,18.215377383932324,18.26422750109975,7348000,TSCO
2019-05-03,18.792524337768555,18.953545799321816,18.631502876215293,18.674923095025104,7866000,TSCO
2019-05-06,18.651399612426758,18.720150720818218,18.421627079339814,18.488568221543886,4463500,TSCO
2019-05-07,18.209945678710938,18.504851114817164,18.081491566755286,18.446956352398296,5535000,TSCO
2019-05-08,18.36192512512207,18.515710159142657,18.005504942267642,18.159289976288225,6628500,TSCO
2019-05-09,18.541030883789062,18.61520841728887,18.094150540894425,18.25155371065213,5824500,TSCO
2019-05-10,18.584453582763672,18.645966535649087,18.280501848078863,18.472280569580683,7538500,TSCO
2019-05-13,17.962080001831055,18.38363125965109,17.840860592626058,18.266030056995135,7200000,TSCO
