Price,Close,High,Low,Open,Volume,Ticker
Ticker,VLO,VLO,VLO,VLO,VLO,
Date,,,,,,
2019-01-02,57.078147888183594,57.52383786684197,55.27273837226564,55.763750606522144,4271900,VLO
2019-01-03,56.050819396972656,57.53141221171975,55.10656700980493,57.36522286945676,3300800,VLO
2019-01-04,58.173484802246094,58.36988508886513,56.352963992974246,56.97994876852693,4364500,VLO
2019-01-07,58.23392105102539,59.17817328570871,57.418091500335294,58.16593765649216,3833600,VLO
2019-01-08,58.43788528442383,59.170625972298325,57.82601165417167,58.85335859092747,3087700,VLO
2019-01-09,58.385013580322266,59.21595451820743,57.259466362307435,58.72494213023829,4280200,VLO
2019-01-10,58.483219146728516,58.974231579985485,57.65227813220269,58.52099155054046,3818500,VLO
2019-01-11,59.27638244628906,59.72206675905402,58.090401805238635,58.181046336237024,3607300,VLO
2019-01-14,59.63897705078125,59.82782752372642,58.354796140057715,58.732497085948054,4496100,VLO
2019-01-15,59.502994537353516,59.99400683761935,58.83824305843334,59.93357331319258,3341400,VLO
2019-01-16,59.676734924316406,59.926018871106145,58.996872234552406,59.329250830272066,3957500,VLO
2019-01-17,60.80229568481445,61.02891855403354,59.200847388297376,59.26883079110772,4056000,VLO
2019-01-18,62.388633728027344,62.69835124148795,60.78718555347721,62.67569010894371,5110700,VLO
2019-01-22,61.95050811767578,62.94008270947969,61.149778227507475,62.11669744890428,7603000,VLO
2019-01-23,60.26595687866211,62.29043400698764,60.00912302366415,61.89762759250294,4507500,VLO
2019-01-24,59.63897705078125,60.53035151361282,59.07242563194574,59.933583327514995,5093700,VLO
2019-01-25,62.08647918701172,62.62281380279829,60.20552445243695,60.53034747475937,6462100,VLO
2019-01-28,61.210208892822266,61.65589896599484,60.60589089141722,61.28574792259058,3662000,VLO
2019-01-29,61.29328918457031,61.57278986876962,60.43968739812078,61.013788500371014,3949600,VLO
2019-01-30,62.909854888916016,63.15913884195431,61.368834674576334,61.73143003929182,4688900,VLO
