Price,Close,High,Low,Open,Volume,Ticker
Ticker,VRSK,VRSK,VRSK,VRSK,VRSK,
Date,,,,,,
2019-01-02,104.05770874023438,104.1343291462874,102.33378613866189,102.52533715379444,770500,VRSK
2019-01-03,100.87802124023438,104.13431498543507,100.48534719280406,102.86052830898664,1102000,VRSK
2019-01-04,105.33149719238281,105.68585378865194,101.96027234400205,102.45829768399939,811300,VRSK
2019-01-07,105.43683624267578,106.25091524460964,104.88135658333914,105.32191294408662,801700,VRSK
2019-01-08,106.37539672851562,106.46159649220884,104.50782042925754,105.56132519568318,668500,VRSK
2019-01-09,106.77766418457031,107.18948972107651,105.8295104356556,106.42330760433921,497200,VRSK
2019-01-10,107.87903594970703,108.08973836204558,106.13596232070947,106.47116738264701,724200,VRSK
2019-01-11,107.27568817138672,108.0035600772201,106.45203710859083,107.09371654146648,670400,VRSK
2019-01-14,106.48077392578125,107.50554812341117,106.3562712444161,106.67231763663902,638700,VRSK
2019-01-15,107.85990142822266,108.0418657435812,106.45203264028464,106.45203264028464,498300,VRSK
2019-01-16,108.2046890258789,108.41538417039956,107.32356901920953,107.71624309816009,564500,VRSK
2019-01-17,108.3770980834961,109.01877760737068,107.57259835384937,107.89823145846881,613700,VRSK
2019-01-18,110.8097152709961,110.86718422493858,108.8272080726845,109.26776441598446,578100,VRSK
2019-01-22,111.38435363769531,111.55674587432895,109.99563636844564,109.99563636844564,1329800,VRSK
2019-01-23,111.87281036376953,112.30379467871678,110.82888470539535,111.47056418202486,582100,VRSK
2019-01-24,111.24071502685547,112.1697174198851,110.72353821093408,111.91112535846212,497800,VRSK
2019-01-25,112.28461456298828,112.80179125838625,111.96856822712527,112.10265026219999,524000,VRSK
2019-01-28,111.31732177734375,111.72914730391294,110.43620176931694,111.72914730391294,449300,VRSK
2019-01-29,111.31732177734375,112.11223469957608,110.36916074438352,111.48971402816164,372500,VRSK
2019-01-30,112.53365325927734,113.4722350291675,111.16409446350448,111.65254045124959,658300,VRSK
2019-01-31,112.44744110107422,112.64856416508907,111.31731580785507,112.5144821224125,1023100,VRSK
2019-02-01,113.74994659423828,114.55444612373466,112.5432082603782,112.5432082603782,1031700,VRSK
2019-02-04,114.3054428100586,114.44910423491811,112.65814072643987,113.59672236952156,494500,VRSK
2019-02-05,114.86093139648438,114.91839304447952,113.23278804328326,113.97981869491493,688200,VRSK
