Price,Close,High,Low,Open,Volume,Ticker
Ticker,VRSN,VRSN,VRSN,VRSN,VRSN,
Date,,,,,,
2019-01-02,146.93421936035156,147.8291987022813,144.62719285974927,144.62719285974927,560500,VRSN
2019-01-03,141.79312133789062,146.4867444740903,141.57434961068108,144.80618673939617,665100,VRSN
2019-01-04,148.13748168945312,149.00261483496033,143.33447234566015,143.9211714863256,789300,VRSN
2019-01-07,150.5538787841797,152.16483555833022,148.10763525532477,148.28662202272278,643000,VRSN
2019-01-08,156.0430450439453,156.73913003374744,151.36931419982844,151.70741045580166,942300,VRSN
2019-01-09,154.77020263671875,156.90818125617076,153.14930706359456,155.8242763811375,860400,VRSN
2019-01-10,156.8783416748047,156.9976813643491,152.045501519898,154.30281971372543,496200,VRSN
2019-01-11,157.04739379882812,157.85287982309947,155.47623705268137,156.00327390992996,512600,VRSN
2019-01-14,156.12258911132812,157.97219491410988,154.6906342738824,155.5458286810506,596900,VRSN
2019-01-15,159.55331420898438,160.48806340028094,157.02751580088724,157.09711671219947,592400,VRSN
2019-01-16,160.72671508789062,161.4526311416618,159.58313290473032,160.09029241605424,876900,VRSN
2019-01-17,162.5067138671875,163.3022460448986,158.70807009955053,159.7323126572925,481700,VRSN
2019-01-18,163.52101135253906,164.4955302658762,162.05922539577654,163.8292764555886,1077900,VRSN
2019-01-22,162.15869140625,164.34639368258217,160.8062911524876,162.7056055951965,637700,VRSN
2019-01-23,162.17855834960938,162.97409053749763,160.60738645124655,162.37743760320285,480700,VRSN
2019-01-24,162.56637573242188,163.04370414200395,161.15431332781523,162.28794174692277,614700,VRSN
2019-01-25,165.03253173828125,166.27554605695695,163.21275695491826,163.99833532797487,495900,VRSN
2019-01-28,165.23141479492188,166.64347727259343,163.74973623051628,166.3550894468595,594300,VRSN
2019-01-29,163.49119567871094,165.94739325736043,162.8348804578175,165.5197884291365,341200,VRSN
2019-01-30,167.30972290039062,167.87654469810968,163.86905268029784,164.19721027263293,449100,VRSN
2019-01-31,168.32403564453125,169.21899990806287,166.52415329160797,167.5285034249948,996100,VRSN
2019-02-01,169.56704711914062,169.9449131575358,167.37934493266587,168.7814535652767,685000,VRSN
2019-02-04,172.32154846191406,172.71932213440678,169.59687087953108,169.8653662117744,701500,VRSN
2019-02-05,172.80882263183594,173.17675001720727,171.55586965233093,172.36134050869234,683800,VRSN
2019-02-06,172.91819763183594,173.23641656292523,171.41664188123198,172.56020892111735,644800,VRSN
2019-02-07,172.08290100097656,172.65966145121428,170.3924046046325,171.71495845387665,633800,VRSN
2019-02-08,172.1226806640625,174.56893959872585,170.58133982432253,173.0275987589859,763600,VRSN
2019-02-11,169.5769805908203,173.80322918444008,169.14939095757623,172.30167338187798,698500,VRSN
2019-02-12,173.3159637451172,173.39551848138856,170.1636812912471,171.01887573927127,723400,VRSN
